,short_name,player_positions,overall,nationality_name,age,dob,league_name,height_cm,weight_kg,year,month,day,trimestre
1638,S. March,"LWB, RW, RM",75,England,26,1994-07-20,English Premier League,180,77,1994,11,20,4
1641,A. Webster,CB,75,England,26,1995-01-04,English Premier League,191,75,1995,5,4,2
1660,K. Hause,CB,75,England,25,1995-07-16,English Premier League,191,77,1995,11,16,4
1669,J. Swift,"CAM, CM, CDM",75,England,26,1995-06-23,English League Championship,182,73,1995,10,23,4
1685,R. Loftus-Cheek,"RM, CAM",75,England,25,1996-01-23,English Premier League,191,88,1996,5,23,2
1686,B. Pearson,CDM,75,England,26,1995-01-04,English League Championship,176,71,1995,5,4,2
1735,D. Gray,"LW, RW, CAM",75,England,25,1996-06-28,English Premier League,183,75,1996,10,28,4
1771,L. Cook,"CM, CDM",75,England,24,1997-02-03,English League Championship,175,71,1997,6,3,2
1787,T. Cantwell,LM,75,England,23,1998-02-27,English Premier League,177,70,1998,6,27,2
1788,A. Maitland-Niles,"CDM, RB, RWB",75,England,23,1997-08-29,English Premier League,177,71,1997,12,29,4
1818,T. Davies,"CM, CDM",75,England,23,1998-06-30,English Premier League,180,70,1998,10,30,4
1879,R. Sessegnon,"LWB, LM, LB",75,England,21,2000-05-18,English Premier League,178,71,2000,9,18,3
1893,J. Willock,"CAM, CM",75,England,21,1999-08-20,English Premier League,186,76,1999,12,20,4
1909,M. Aarons,RB,75,England,21,2000-01-04,English Premier League,178,69,2000,5,4,2
1914,O. Skipp,"CDM, CM",75,England,20,2000-09-16,English Premier League,178,70,2000,1,16,1
1927,B. Williams,"RB, LB",75,England,20,2000-09-03,English Premier League,182,63,2000,1,3,1
1969,J. Hart,GK,74,England,34,1987-04-19,Scottish Premiership,196,91,1987,8,19,3
1973,G. Cahill,CB,74,England,35,1985-12-19,English League Championship,193,88,1985,4,19,2
1977,J. Rodriguez,ST,74,England,31,1989-07-29,English Premier League,185,84,1989,11,29,4
1991,T. Deeney,ST,74,England,33,1988-06-29,English League Championship,183,90,1988,10,29,4
1995,M. Kelly,"CB, RB",74,England,31,1990-04-27,English Premier League,191,77,1990,8,27,3
1997,C. Basham,CB,74,England,32,1988-07-20,English League Championship,190,80,1988,11,20,4
2000,J. Ward,RB,74,England,31,1989-10-29,English Premier League,188,83,1989,2,29,1
2020,T. Cleverley,"CM, CAM",74,England,31,1989-08-12,English Premier League,175,67,1989,12,12,4
2047,P. Jones,CB,74,England,29,1992-02-21,English Premier League,185,71,1992,6,21,2
2077,J. Stephens,CB,74,England,27,1994-01-27,English Premier League,185,75,1994,5,27,2
2079,J. Bryan,"LB, LWB",74,England,27,1993-09-17,English League Championship,173,75,1993,1,17,1
2097,N. Chalobah,"CDM, CM",74,England,26,1994-12-12,English League Championship,185,80,1994,4,12,2
2098,J. Wallace,"RW, ST, RM",74,England,27,1994-03-26,English League Championship,178,70,1994,7,26,3
2099,H. Reed,"CDM, CM",74,England,26,1995-01-27,English League Championship,175,72,1995,5,27,2
2127,B. Dack,"CAM, CM",74,England,27,1993-12-31,English League Championship,173,71,1993,4,31,2
2135,M. Grimes,"CM, CDM",74,England,25,1995-07-15,English League Championship,178,70,1995,11,15,4
2190,T. Adarabioyo,CB,74,England,23,1997-09-24,English League Championship,196,78,1997,1,24,1
2191,F. Woodman,GK,74,England,24,1997-03-04,English Premier League,190,83,1997,7,4,3
2199,J. Kenny,"RB, RWB",74,England,24,1997-03-15,English Premier League,176,67,1997,7,15,3
2201,R. Henry,"LB, LWB",74,England,23,1997-07-08,English Premier League,170,66,1997,11,8,4
2288,G. Diangana,"LW, LM, RW",74,England,23,1998-04-19,English League Championship,180,73,1998,8,19,3
2289,A. Tuanzebe,CB,74,England,23,1997-11-14,English Premier League,185,75,1997,3,14,1
2307,A. Ramsdale,GK,74,England,23,1998-05-14,English Premier League,188,77,1998,9,14,3
2318,O. Richards,"LB, LWB",74,England,23,1998-02-15,German 1. Bundesliga,174,74,1998,6,15,2
2336,J. Tanganga,"RB, CB, LB",74,England,22,1999-03-31,English Premier League,180,73,1999,7,31,3
2338,E. Nketiah,ST,74,England,22,1999-05-30,English Premier League,175,72,1999,9,30,3
2352,C. Gallagher,CM,74,England,21,2000-02-06,English Premier League,182,74,2000,6,6,2
2379,T. Lamptey,"RWB, RB",74,England,20,2000-09-30,English Premier League,163,62,2000,1,30,1
2390,J. Bogle,"RWB, RB",74,England,20,2000-07-27,English League Championship,178,69,2000,11,27,4
2435,A. Lennon,"RM, LM",73,England,34,1987-04-16,English Premier League,165,63,1987,8,16,3
2440,S. Dann,CB,73,England,34,1987-02-14,English League Championship,190,78,1987,6,14,2
2480,D. Stephens,"CDM, CM",73,England,32,1989-06-12,English Premier League,185,78,1989,10,12,4
2493,D. Welbeck,"ST, LW, LM",73,England,30,1990-11-26,English Premier League,185,73,1990,3,26,1
2497,S. Morrison,CB,73,England,30,1991-01-08,English League Championship,194,84,1991,5,8,2
2506,J. Livermore,"CDM, CM",73,England,31,1989-11-14,English League Championship,180,74,1989,3,14,1
2509,J. Stanislas,"LW, LM, RW",73,England,31,1989-11-26,English League Championship,183,76,1989,3,26,1
2525,A. Smith,"RB, RWB, LWB",73,England,30,1991-04-29,English League Championship,180,78,1991,8,29,3
2541,S. Cook,CB,73,England,30,1991-04-19,English League Championship,185,82,1991,8,19,3
2544,S. Caulker,CB,73,England,29,1991-12-29,Turkish SÃ¼per Lig,191,77,1991,4,29,2
2546,S. Hutchinson,CB,73,England,30,1990-11-23,English League Championship,188,80,1990,3,23,1
2565,D. Bentley,GK,73,England,27,1993-07-13,English League Championship,188,72,1993,11,13,4
2581,G. Baldock,"RWB, RB",73,England,28,1993-03-09,English League Championship,175,67,1993,7,9,3
2598,J. Butland,GK,73,England,28,1993-03-10,English Premier League,196,95,1993,7,10,3
2616,D. Gayle,ST,73,England,30,1990-10-17,English Premier League,174,78,1990,2,17,1
2650,S. Byram,"LB, RB",73,England,27,1993-09-16,English Premier League,183,72,1993,1,16,1
2690,B. Davies,CB,73,England,25,1995-08-11,English League Championship,185,74,1995,12,11,4
2700,A. Mowatt,CM,73,England,26,1995-02-13,English League Championship,177,71,1995,6,13,2
2739,J. Cooper,CB,73,England,26,1995-02-03,English League Championship,199,85,1995,6,3,2
2811,D. Solanke,ST,73,England,23,1997-09-14,English League Championship,187,80,1997,1,14,1
2835,H. Choudhury,"CDM, CM",73,England,23,1997-10-01,English Premier League,178,64,1997,2,1,1
2859,D. Fry,CB,73,England,23,1997-08-30,English League Championship,191,72,1997,12,30,4
2897,T. Chalobah,"CB, CDM, CM",73,England,21,1999-07-05,English Premier League,191,84,1999,11,5,4
2902,J. Dasilva,"CM, CAM, CDM",73,England,22,1998-10-23,English Premier League,184,75,1998,2,23,1
2954,O. Ejaria,"LM, CM, CAM",73,England,23,1997-11-18,English League Championship,188,74,1997,3,18,1
3001,N. Phillips,CB,73,England,24,1997-03-21,English Premier League,190,84,1997,7,21,3
3004,M. GuÃ©hi,CB,73,England,20,2000-07-13,English Premier League,185,75,2000,11,13,4
3017,C. Jones,CM,73,England,20,2001-01-30,English Premier League,185,75,2001,5,30,2
3040,H. Elliott,"RW, CM",73,England,18,2003-04-04,English Premier League,170,64,2003,8,4,3
3107,B. Sharp,ST,72,England,35,1986-02-05,English League Championship,175,70,1986,6,5,2
3113,S. Sinclair,"LM, RM, ST",72,England,32,1989-03-25,English League Championship,178,70,1989,7,25,3
3143,R. Bennett,CB,72,England,31,1990-03-06,English League Championship,188,78,1990,7,6,3
3149,A. Smithies,GK,72,England,31,1990-03-05,English League Championship,189,88,1990,7,5,3
3151,D. Gosling,CM,72,England,31,1990-02-01,English Premier League,183,79,1990,6,1,2
3154,K. Gibbs,"LB, LWB",72,England,31,1989-09-26,USA Major League Soccer,179,70,1989,1,26,1
3155,D. Drinkwater,"CM, CDM",72,England,31,1990-03-05,English League Championship,178,80,1990,7,5,3
3157,K. Bartley,CB,72,England,30,1991-05-22,English League Championship,194,94,1991,9,22,3
3195,J. Steer,GK,72,England,28,1992-09-23,English Premier League,188,80,1992,1,23,1
3204,S. Malone,"LWB, LB",72,England,30,1991-03-25,English League Championship,189,75,1991,7,25,3
3214,S. Clucas,"CM, CDM",72,England,30,1990-09-25,English League Championship,188,74,1990,1,25,1
3223,C. Austin,ST,72,England,31,1989-07-05,English League Championship,188,84,1989,11,5,4
3225,M. Pack,"CDM, CM, CB",72,England,30,1991-03-25,English League Championship,188,76,1991,7,25,3
3227,J. Bidwell,"LWB, LB",72,England,28,1993-03-21,English League Championship,183,80,1993,7,21,3
3242,J. Robinson,"CB, LB",72,England,27,1993-09-01,English League Championship,180,67,1993,1,1,1
3263,B. Gibson,CB,72,England,28,1993-01-15,English Premier League,185,78,1993,5,15,2
3267,J. Lundstram,CM,72,England,27,1994-02-18,Scottish Premiership,181,74,1994,6,18,2
3269,N. Powell,"CAM, CM",72,England,27,1994-03-23,English League Championship,183,65,1994,7,23,3
3284,C. Townsend,"LWB, LB",72,England,28,1993-03-04,English League Championship,183,73,1993,7,4,3
3309,J. Price,"CDM, CM",72,England,28,1992-12-19,USA Major League Soccer,170,69,1992,4,19,2
3316,J. Murphy,"RM, RWB",72,England,26,1995-02-24,English Premier League,179,74,1995,6,24,2
3351,B. Osborn,"LWB, CM",72,England,26,1994-08-05,English League Championship,176,75,1994,12,5,4
3366,M. Lowe,"LB, LWB",72,England,24,1997-05-11,English League Championship,175,74,1997,9,11,3
3409,D. Fisher,RB,72,England,27,1994-04-04,English League Championship,175,70,1994,8,4,3
3419,A. Gunn,GK,72,England,25,1996-01-22,English Premier League,196,77,1996,5,22,2
3429,J. Laurent,"CDM, CM",72,England,26,1995-05-06,English League Championship,188,76,1995,9,6,3
3449,J. Stacey,"RB, RWB",72,England,25,1996-04-06,English League Championship,178,62,1996,8,6,3
3453,M. Clarke,CB,72,England,24,1996-09-22,English League Championship,185,83,1996,1,22,1
3471,R. Ledson,"CDM, CM",72,England,23,1997-08-19,English League Championship,175,69,1997,12,19,4
3480,R. Dickie,CB,72,England,25,1996-03-03,English League Championship,195,74,1996,7,3,3
3490,D. Furlong,"RWB, RB",72,England,25,1995-10-31,English League Championship,183,75,1995,2,31,1
3509,K. Grant,"ST, LW, LM",72,England,23,1997-09-18,English League Championship,182,70,1997,1,18,1
3606,J. Worrall,CB,72,England,24,1997-01-10,English League Championship,190,90,1997,5,10,2
3617,R. Nelson,RW,72,England,21,1999-12-10,Holland Eredivisie,175,71,1999,4,10,2
3656,L. Travis,"CDM, CM",72,England,23,1997-10-16,English League Championship,183,63,1997,2,16,1
3687,S. Longstaff,"CM, CAM",72,England,23,1997-10-30,English Premier League,180,65,1997,2,30,1
3694,C. O'Hare,"CAM, RW",72,England,23,1998-05-01,English League Championship,173,65,1998,9,1,3
3822,E. Green,GK,72,England,20,2000-07-19,French Ligue 1,190,78,2000,11,19,4
3849,B. Wright-Phillips,ST,71,England,36,1985-03-12,USA Major League Soccer,173,75,1985,7,12,3
3884,J. Hogg,"CDM, CM",71,England,32,1988-12-06,English League Championship,176,73,1988,4,6,2
3899,K. Naughton,"RWB, RB, CB",71,England,32,1988-11-17,English League Championship,180,73,1988,3,17,1
3908,M. Morrison,CB,71,England,33,1988-03-03,English League Championship,188,76,1988,7,3,3
3918,J. Bennett,LB,71,England,31,1990-03-28,English League One,178,74,1990,7,28,3
3925,H. Dean,CB,71,England,29,1991-07-26,English League Championship,191,75,1991,11,26,4
3942,A. Forshaw,"CM, CDM",71,England,29,1991-10-08,English Premier League,174,71,1991,2,8,1
3987,J. Clarke-Harris,ST,71,England,26,1994-07-21,English League Championship,183,78,1994,11,21,4
3989,C. Nelson,CB,71,England,28,1993-05-21,English League Championship,183,74,1993,9,21,3
3994,T. Barkhuizen,"RM, RWB, ST",71,England,27,1993-07-04,English League Championship,179,70,1993,11,4,4
4005,A. Flint,CB,71,England,31,1989-07-11,English League Championship,197,83,1989,11,11,4
4010,N. Byrne,"RB, RWB",71,England,29,1992-06-05,English League Championship,172,70,1992,10,5,4
4015,S. Ameobi,"RM, LM, LW",71,England,29,1992-05-01,English League Championship,190,78,1992,9,1,3
4021,T. Smith,"RWB, RB",71,England,29,1992-04-14,English League Championship,186,84,1992,8,14,3
4025,A. Reach,"LWB, CM, RW",71,England,28,1993-02-03,English League Championship,185,73,1993,6,3,2
4026,M. Bettinelli,GK,71,England,29,1992-05-24,English Premier League,194,82,1992,9,24,3
4031,J. Ralls,"CM, CDM, CAM",71,England,27,1993-10-12,English League Championship,178,70,1993,2,12,1
4043,C. Woodrow,"ST, LW, RW",71,England,26,1994-12-02,English League Championship,184,74,1994,4,2,2
4045,H. Toffolo,"LWB, LB",71,England,25,1995-08-19,English League Championship,183,71,1995,12,19,4
4113,C. Akpom,ST,71,England,25,1995-10-09,Greek Super League,186,81,1995,2,9,1
4138,G. Honeyman,"CM, CAM",71,England,26,1994-09-08,English League Championship,173,72,1994,1,8,1
4167,D. Phillips,GK,71,England,26,1995-06-11,English League Championship,188,89,1995,10,11,4
4192,J. Lolley,"RM, LM, CAM",71,England,28,1992-08-25,English League Championship,178,72,1992,12,25,4
4198,P. Roberts,"RM, RW, CAM",71,England,24,1997-02-05,French Ligue 1,170,66,1997,6,5,2
4248,K. Dowell,"CAM, LM",71,England,23,1997-10-10,English Premier League,185,70,1997,2,10,1
4261,A. Rinomhota,"CDM, CM, RM",71,England,24,1997-04-21,English League Championship,175,72,1997,8,21,3
4343,J. Dasilva,"LB, LWB",71,England,23,1998-04-22,English League Championship,170,64,1998,8,22,3
4346,I. Ugbo,ST,71,England,22,1998-09-21,Belgian Jupiler Pro League,185,73,1998,1,21,1
4361,Ronaldo Vieira,"CDM, CM",71,England,22,1998-07-19,Italian Serie A,178,70,1998,11,19,4
4367,C. Styles,"LWB, CM",71,England,21,2000-03-27,English League Championship,170,60,2000,7,27,3
4392,M. Gibbs-White,"CAM, CM",71,England,21,2000-01-27,English League Championship,178,70,2000,5,27,2
4411,K. Dewsbury-Hall,"CM, CDM",71,England,22,1998-09-06,English Premier League,177,70,1998,1,6,1
4418,J. Elliott,"CB, CDM",71,England,25,1995-08-24,USA Major League Soccer,196,82,1995,12,24,4
4444,A. Gomes,"LM, ST",71,England,20,2000-08-31,French Ligue 1,168,56,2000,12,31,4
4451,T. Mitchell,LB,71,England,21,1999-09-01,English Premier League,180,70,1999,1,1,1
4492,M. Longstaff,"CM, CDM, CAM",71,England,21,2000-03-21,Scottish Premiership,171,65,2000,7,21,3
4565,L. Thomas,"LWB, LB",71,England,20,2001-06-10,English Premier League,177,68,2001,10,10,4
4593,P. Jagielka,CB,70,England,38,1982-08-17,English League Championship,180,87,1982,12,17,4
4605,J. Lewis,GK,70,England,33,1987-10-06,Scottish Premiership,198,85,1987,2,6,1
4609,S. Taylor,CB,70,England,35,1986-01-23,Australian Hyundai A-League,188,91,1986,5,23,2
4614,J. Ruddy,GK,70,England,34,1986-10-24,English Premier League,193,97,1986,2,24,1
4615,C. Davies,CB,70,England,36,1985-03-15,English League Championship,188,76,1985,7,15,3
4616,A. Le Fondre,ST,70,England,34,1986-12-02,Australian Hyundai A-League,180,73,1986,4,2,2
4622,L. Freeman,"LM, CAM",70,England,29,1992-03-22,English League Championship,172,73,1992,7,22,3
4625,L. Grabban,ST,70,England,33,1988-01-12,English League Championship,183,78,1988,5,12,2
4639,G. Hooper,"ST, CF",70,England,33,1988-01-26,Australian Hyundai A-League,179,82,1988,5,26,2
4645,J. Howson,"CM, CDM, CB",70,England,33,1988-05-21,English League Championship,180,77,1988,9,21,3
4672,N. Baker,CB,70,England,30,1991-04-23,English League Championship,189,82,1991,8,23,3
4698,W. Foderingham,GK,70,England,30,1991-01-14,English League Championship,185,75,1991,5,14,2
4718,D. Batth,CB,70,England,30,1990-09-21,English League Championship,191,90,1990,1,21,1
4725,M. Gillespie,GK,70,England,29,1992-03-27,English Premier League,192,83,1992,7,27,3
4751,J. Paterson,"CAM, CM",70,England,29,1991-12-20,English League Championship,175,68,1991,4,20,2
4757,R. Leonard,"CDM, CM",70,England,29,1992-05-24,English League Championship,185,82,1992,9,24,3
4786,S. Bradley,CB,70,England,29,1991-09-13,English League Championship,196,90,1991,1,13,1
4807,R. Woods,"CDM, CM",70,England,27,1993-12-13,English League Championship,173,70,1993,4,13,2
4814,C. Walton,GK,70,England,25,1995-11-09,English League One,195,72,1995,3,9,1
4816,M. Pearson,"CB, RB",70,England,27,1993-08-03,English League Championship,190,78,1993,12,3,4
4818,A. Mawson,CB,70,England,27,1994-01-19,English League Championship,189,90,1994,5,19,2
4852,L. Baker,"CDM, CAM, CM",70,England,26,1995-04-25,English Premier League,182,72,1995,8,25,3
4874,I. Brown,"CAM, CM",70,England,24,1997-01-07,English League Championship,182,70,1997,5,7,2
4877,F. Dabo,"RWB, RB",70,England,25,1995-10-11,English League Championship,181,76,1995,2,11,1
4930,D. Iorfa,"CB, RB",70,England,26,1995-06-24,English League One,193,78,1995,10,24,4
4950,J. Hugill,ST,70,England,29,1992-06-04,English League Championship,183,85,1992,10,4,4
4984,P. Ng,"RWB, RB, LWB",70,England,25,1996-06-24,English League Championship,180,77,1996,10,24,4
4990,J. Williams,"CDM, CM, CAM",70,England,24,1996-12-08,English League Championship,185,80,1996,4,8,2
