,Player,dob,year,month,day,trimestre,Deporte
1248,Todd MacCulloch,"Jan 27, 1976",1976,1,27,1,Baloncesto
1318,Hakeem Olajuwon,"Jan 21, 1963",1963,1,21,1,Baloncesto
1324,Patrick Ewing,"Aug 5, 1962",1962,8,5,3,Baloncesto
1326,Zeljko Rebraca,"Apr 9, 1972",1972,4,9,2,Baloncesto
1346,Chris Anstey,"Jan 1, 1975",1975,1,1,1,Baloncesto
1368,Mladen Erjavec,"Apr 8, 1970",1970,4,8,2,Baloncesto
1382,Zoran Kukic,"Dec 1, 1973",1973,12,1,4,Baloncesto
1389,Richard Barry,"Aug 13, 1966",1966,8,13,3,Baloncesto
1394,Victor Luengo,"Feb 1, 1974",1974,2,1,1,Baloncesto
1407,Casey Calvary,"Apr 27, 1979",1979,4,27,2,Baloncesto
1431,Juan Manuel Moltedo,"Jun 24, 1974",1974,6,24,2,Baloncesto
1435,Cedric Miller,"Aug 8, 1964",1964,8,8,3,Baloncesto
1436,Miroslav Radosevic,"Jan 6, 1973",1973,1,6,1,Baloncesto
1451,Zvonimir Ridl,"Mar 20, 1972",1972,3,20,1,Baloncesto
1456,Ivan Krasic,"Jan 13, 1973",1973,1,13,1,Baloncesto
1457,Ivica Maric,"Apr 16, 1967",1967,4,16,2,Baloncesto
1464,Teo Cizmic,"Mar 30, 1971",1971,3,30,1,Baloncesto
1466,Drazan Tomic,"Apr 27, 1974",1974,4,27,2,Baloncesto
1469,Nikolai Khryapa,"Jun 7, 1979",1979,6,7,2,Baloncesto
1471,Pedro Fernandez,"Apr 19, 1978",1978,4,19,2,Baloncesto
1472,Joel Zacchetti,"Jan 7, 1982",1982,1,7,1,Baloncesto
1473,Vladimir Kuzmanovic,"Jul 31, 1971",1971,7,31,3,Baloncesto
1477,Alek Radojevic,"Aug 8, 1976",1976,8,8,3,Baloncesto
1480,Burak Sezgin,"Apr 24, 1974",1974,4,24,2,Baloncesto
1481,Raimonds Vaikulis,"Feb 4, 1980",1980,2,4,1,Baloncesto
1482,Mehmet Kahyaoglu,"Nov 12, 1976",1976,11,12,4,Baloncesto
1484,Stipo Papic,"Nov 20, 1978",1978,11,20,4,Baloncesto
1486,Mindaugas Burneika,"Oct 28, 1978",1978,10,28,4,Baloncesto
1495,Francisco Martin,"May 27, 1967",1967,5,27,2,Baloncesto
1497,Benoit Georget,"May 9, 1970",1970,5,9,2,Baloncesto
1503,Diego Marcelo Osella,"Sep 4, 1969",1969,9,4,3,Baloncesto
1506,Jose Miguel Antunez,"Feb 21, 1967",1967,2,21,1,Baloncesto
1508,Alvaro Palacios,"Dec 17, 1982",1982,12,17,4,Baloncesto
1555,Hakki Harun Erdenay,"May 27, 1968",1968,5,27,2,Baloncesto
1560,Dejan Koturovic,"Mar 31, 1972",1972,3,31,1,Baloncesto
1563,Robert Gulyas,"Jul 28, 1974",1974,7,28,3,Baloncesto
1591,Emilio Kovacic,"Jan 11, 1968",1968,1,11,1,Baloncesto
1594,Zarko Cabarkapa,"May 21, 1981",1981,5,21,2,Baloncesto
1610,Alexander Bashminov,"May 7, 1978",1978,5,7,2,Baloncesto
1647,Sergey Panov,"Jun 30, 1970",1970,6,30,2,Baloncesto
1654,Ruslan Avleev,"Jun 4, 1976",1976,6,4,2,Baloncesto
1657,Yann Bonato,"Mar 4, 1972",1972,3,4,1,Baloncesto
1672,Teoman Ozturk,"Dec 5, 1967",1967,12,5,4,Baloncesto
1677,Henrik Rodl,"Mar 4, 1969",1969,3,4,1,Baloncesto
1852,Vladimir Stepania,"May 8, 1976",1976,5,8,2,Baloncesto
2020,Tariq Abdul-Wahad,"Nov 3, 1974",1974,11,3,4,Baloncesto
2137,Tunji Awojobi,"Jul 30, 1973",1973,7,30,3,Baloncesto
2161,Vladimir Vuksanovic,"May 4, 1978",1978,5,4,2,Baloncesto
2174,Kestutis Sestokas,"Apr 15, 1976",1976,4,15,2,Baloncesto
2184,Shane Heal,"Sep 6, 1970",1970,9,6,3,Baloncesto
2200,Josko Garma,"Apr 5, 1981",1981,4,5,2,Baloncesto
2202,Marko Piplovic,"May 22, 1976",1976,5,22,2,Baloncesto
2222,Aleksandar Zecevic,"Jun 29, 1975",1975,6,29,2,Baloncesto
2224,Dragan Markovic,"Apr 24, 1974",1974,4,24,2,Baloncesto
2228,Dragan Aleksic,"May 1, 1970",1970,5,1,2,Baloncesto
2234,Kristaps Purnis,"Aug 15, 1977",1977,8,15,3,Baloncesto
2235,Andrew Alleyne,"Nov 13, 1968",1968,11,13,4,Baloncesto
2237,Aleksandar Glintic,"Apr 19, 1976",1976,4,19,2,Baloncesto
2249,Nikita Morgunov,"Jun 29, 1975",1975,6,29,2,Baloncesto
2263,Gintaras Einikis,"Sep 30, 1969",1969,9,30,3,Baloncesto
2265,Andrea Niccolai,"Nov 9, 1968",1968,11,9,4,Baloncesto
2270,Damir Milacic,"Feb 25, 1975",1975,2,25,1,Baloncesto
2285,Sasa Bratic,"Aug 29, 1981",1981,8,29,3,Baloncesto
2286,Mladen Sekularac,"Jan 29, 1981",1981,1,29,1,Baloncesto
2291,Koen Rouwhorst,"Apr 9, 1973",1973,4,9,2,Baloncesto
2297,Tolis Koutroulias,"Apr 27, 1976",1976,4,27,2,Baloncesto
2299,David Brkic,"Jul 19, 1982",1982,7,19,3,Baloncesto
2323,Arnis Vecvagars,"Apr 12, 1974",1974,4,12,2,Baloncesto
2324,Nikola Garma,"Apr 30, 1985",1985,4,30,2,Baloncesto
2325,Nikolaos Bountouris,"Sep 25, 1971",1971,9,25,3,Baloncesto
2330,Giorgos Pantazopoulos,"Dec 16, 1972",1972,12,16,4,Baloncesto
2335,Gerben Van Dorpe,"Jul 12, 1976",1976,7,12,3,Baloncesto
2336,Kordian Korytek,"May 1, 1975",1975,5,1,2,Baloncesto
2337,Leandro Masieri,"Aug 20, 1976",1976,8,20,3,Baloncesto
2345,Slobodan Agoc,"Jan 18, 1977",1977,1,18,1,Baloncesto
2348,Georgios Bosganas,"May 20, 1968",1968,5,20,2,Baloncesto
2354,Patrick Cortenraede,"Oct 30, 1976",1976,10,30,4,Baloncesto
2355,Kostas Paschalis,"Mar 9, 1975",1975,3,9,1,Baloncesto
2358,Hrvoje Orsulic,"Feb 26, 1983",1983,2,26,1,Baloncesto
2360,Decho Koeshinov,"May 14, 1975",1975,5,14,2,Baloncesto
2362,Andres Pelussi,"Oct 14, 1977",1977,10,14,4,Baloncesto
2365,Harm Woerkom,"Sep 24, 1973",1973,9,24,3,Baloncesto
2370,Mario Bennes,"May 25, 1964",1964,5,25,2,Baloncesto
2371,Matthaios Sofogiannis,"Jul 18, 1978",1978,7,18,3,Baloncesto
2373,Nenad Cvjetkovic,"Aug 14, 1983",1983,8,14,3,Baloncesto
2376,Milos Mirkovic,"Jul 14, 1983",1983,7,14,3,Baloncesto
2379,Eloy Martin,"Jan 22, 1980",1980,1,22,1,Baloncesto
2394,Arvydas Sabonis,"Dec 19, 1964",1964,12,19,4,Baloncesto
2408,Dragan Lukovski,"Mar 21, 1975",1975,3,21,1,Baloncesto
2441,Georgios Diamantopoulos,"Feb 15, 1980",1980,2,15,1,Baloncesto
2453,Simon Petrov,"Jan 27, 1976",1976,1,27,1,Baloncesto
2454,Boris Gorenc,"Mar 12, 1973",1973,3,12,1,Baloncesto
2457,Alojzij Slavko Duscak,"Jan 2, 1974",1974,1,2,1,Baloncesto
2465,Efthimios Rentzias,"Jan 11, 1976",1976,1,11,1,Baloncesto
2503,Frederic Fauthoux,"Dec 6, 1972",1972,12,6,4,Baloncesto
2520,Dragan Tarlac,"May 9, 1973",1973,5,9,2,Baloncesto
2524,Milan Tomic,"Jul 24, 1973",1973,7,24,3,Baloncesto
2527,Josko Poljak,"Feb 19, 1978",1978,2,19,1,Baloncesto
2532,Josip Sesar,"Jan 17, 1978",1978,1,17,1,Baloncesto
2536,David Frigout,"May 8, 1973",1973,5,8,2,Baloncesto
2541,Mario Dundovic,"Aug 8, 1977",1977,8,8,3,Baloncesto
2573,John Thomas,"Oct 11, 1976",1976,10,11,4,Baloncesto
2585,Geert Hammink,"Jul 12, 1969",1969,7,12,3,Baloncesto
2587,Aaron Granger,"Apr 24, 1978",1978,4,24,2,Baloncesto
2592,Ivo Kresta,"Jun 12, 1977",1977,6,12,2,Baloncesto
2598,Marvin Willoughby,"Jan 31, 1978",1978,1,31,1,Baloncesto
2600,James Brakebill,"Mar 23, 1980",1980,3,23,1,Baloncesto
2602,Marko Jovanovic,"Jan 6, 1982",1982,1,6,1,Baloncesto
2611,Cyrille Makanda,"May 5, 1980",1980,5,5,2,Baloncesto
2614,Ervin Dragsic,"Oct 22, 1974",1974,10,22,4,Baloncesto
2625,Jorg Lutcke,"Dec 12, 1975",1975,12,12,4,Baloncesto
2626,Sebastian Machowski,"Jan 18, 1972",1972,1,18,1,Baloncesto
2632,Pavel Becka,"Nov 7, 1970",1970,11,7,4,Baloncesto
2637,Vedran Morovic,"Jul 1, 1983",1983,7,1,3,Baloncesto
2639,Markku Larkio,"Sep 4, 1972",1972,9,4,3,Baloncesto
2640,Vladimir Bogojevic,"Apr 20, 1976",1976,4,20,2,Baloncesto
2643,Mario Boni,"Jun 30, 1963",1963,6,30,2,Baloncesto
2667,Arijan Komazec,"Jan 23, 1970",1970,1,23,1,Baloncesto
2683,Sasa Djordjevic,"Aug 26, 1967",1967,8,26,3,Baloncesto
2702,Francesco Vescovi,"Oct 10, 1964",1964,10,10,4,Baloncesto
2706,German Scarone,"Feb 27, 1975",1975,2,27,1,Baloncesto
2721,Paolo Conti,"Nov 9, 1969",1969,11,9,4,Baloncesto
2725,Sasa Markovic-Theodorakis,"Jul 21, 1977",1977,7,21,3,Baloncesto
2729,Thomas Van Den Spiegel,"Jul 10, 1978",1978,7,10,3,Baloncesto
2736,Marcelo Nicola,"May 12, 1971",1971,5,12,2,Baloncesto
2741,Riccardo Pittis,"Dec 18, 1968",1968,12,18,4,Baloncesto
2743,Rodolfo Rombaldoni,"Dec 15, 1976",1976,12,15,4,Baloncesto
2746,Frederic Forte,"Jan 27, 1970",1970,1,27,1,Baloncesto
2747,Andrea Camata,"Nov 26, 1973",1973,11,26,4,Baloncesto
2749,Daniele Parente,"Jun 14, 1978",1978,6,14,2,Baloncesto
2751,Fernando Labella,"Aug 17, 1971",1971,8,17,3,Baloncesto
2998,Slava Medvedenko,"Apr 4, 1979",1979,4,4,2,Baloncesto
3002,Vlade Divac,"Feb 3, 1968",1968,2,3,1,Baloncesto
3053,Toni Kukoc,"Sep 18, 1968",1968,9,18,3,Baloncesto
3062,Michael Olowokandi,"Apr 3, 1975",1975,4,3,2,Baloncesto
3083,Rick Fox,"Jul 24, 1969",1969,7,24,3,Baloncesto
3102,Antoine Rigaudeau,"Dec 17, 1971",1971,12,17,4,Baloncesto
3118,Zan Tabak,"Jun 15, 1970",1970,6,15,2,Baloncesto
3139,Roger Esteller,"Jul 6, 1972",1972,7,6,3,Baloncesto
3154,Sergio Ramos,"Dec 11, 1975",1975,12,11,4,Baloncesto
3166,Xavier Sanchez,"Jan 7, 1975",1975,1,7,1,Baloncesto
3167,Roberto Duenas,"Nov 1, 1975",1975,11,1,4,Baloncesto
3177,Nacho Biota,"Dec 19, 1975",1975,12,19,4,Baloncesto
3184,Eric Struelens,"Nov 3, 1969",1969,11,3,4,Baloncesto
3187,Johnny Rogers,"Dec 30, 1963",1963,12,30,4,Baloncesto
3189,Leandro Palladino,"Jan 13, 1976",1976,1,13,1,Baloncesto
3194,Jose Galilea,"Jul 9, 1972",1972,7,9,3,Baloncesto
3197,Berni Alvarez,"Aug 3, 1971",1971,8,3,3,Baloncesto
3199,Hector Garcia,"Mar 20, 1978",1978,3,20,1,Baloncesto
3207,Ruben Quintana,"Feb 25, 1980",1980,2,25,1,Baloncesto
3208,Rafael Jofresa,"Sep 2, 1966",1966,9,2,3,Baloncesto
3209,Alvin Jones,"Sep 9, 1978",1978,9,9,3,Baloncesto
3211,Paul Rogers,"Sep 29, 1973",1973,9,29,3,Baloncesto
3370,Pero Dujmovic,"Nov 14, 1977",1977,11,14,4,Baloncesto
3390,Jerome Robinson,"Sep 29, 1978",1978,9,29,3,Baloncesto
3392,Amit Tamir,"Dec 2, 1979",1979,12,2,4,Baloncesto
3393,Gert Kullamae,"Jun 3, 1971",1971,6,3,2,Baloncesto
3403,Leroy Trimmingham,"Jan 2, 1971",1971,1,2,1,Baloncesto
3404,Ninoslav Marjanovic,"Mar 3, 1977",1977,3,3,1,Baloncesto
3405,Dragan Vukcevic,"Apr 12, 1971",1971,4,12,2,Baloncesto
3407,Ivan Koljevic,"Jun 30, 1984",1984,6,30,2,Baloncesto
3418,Oliver Popovic,"Mar 18, 1970",1970,3,18,1,Baloncesto
3420,Sasa Stefanovic,"Sep 17, 1975",1975,9,17,3,Baloncesto
3422,Boris Gnjidic,"Oct 9, 1967",1967,10,9,4,Baloncesto
3427,Martins Skirmants,"Dec 7, 1977",1977,12,7,4,Baloncesto
3431,Milos Minic,"Aug 28, 1976",1976,8,28,3,Baloncesto
3433,Kimani Ffriend,"Jul 29, 1977",1977,7,29,3,Baloncesto
3434,Erdem Turetken,"Apr 5, 1979",1979,4,5,2,Baloncesto
3464,Armando Costa,"Jun 3, 1983",1983,6,3,2,Baloncesto
3469,Dano Novak,"Nov 2, 1978",1978,11,2,4,Baloncesto
3477,Boyko Mladenov,"Mar 2, 1981",1981,3,2,1,Baloncesto
3486,Gabor Toth,"Jan 9, 1978",1978,1,9,1,Baloncesto
3496,Jaime Silva,"Jun 4, 1980",1980,6,4,2,Baloncesto
3499,James Maye,"Jan 29, 1981",1981,1,29,1,Baloncesto
3503,Aleksandar Smiljanic,"Feb 2, 1976",1976,2,2,1,Baloncesto
3510,Antonio Tavares,"Dec 10, 1975",1975,12,10,4,Baloncesto
3511,Jozsef Szendrei,"Jun 19, 1979",1979,6,19,2,Baloncesto
3513,Nenad Pistoljevic,"May 20, 1980",1980,5,20,2,Baloncesto
3516,Todor Pandov,"Mar 27, 1980",1980,3,27,1,Baloncesto
3520,Georgios Karagkoutis,"Feb 15, 1976",1976,2,15,1,Baloncesto
3527,Semsettin Bas,"Jan 4, 1973",1973,1,4,1,Baloncesto
3529,Sejo Bukva,"Sep 16, 1966",1966,9,16,3,Baloncesto
3530,Maciej Zielinski,"Jan 5, 1971",1971,1,5,1,Baloncesto
3543,Rui Mota,"Feb 19, 1978",1978,2,19,1,Baloncesto
3545,Michael Wilson,"Jul 22, 1972",1972,7,22,3,Baloncesto
3561,Roman Horvat,"Nov 21, 1971",1971,11,21,4,Baloncesto
3563,Abdel Moussa,"Apr 8, 1980",1980,4,8,2,Baloncesto
3566,Gavrilo Pajovic,"Jul 3, 1981",1981,7,3,3,Baloncesto
3570,Bruno Petersons,"Aug 22, 1978",1978,8,22,3,Baloncesto
3574,Goran Savanovic,"Aug 28, 1973",1973,8,28,3,Baloncesto
3578,Leven Belberov,"Aug 19, 1974",1974,8,19,3,Baloncesto
3581,Tom Timmermans,"Jul 31, 1981",1981,7,31,3,Baloncesto
3588,Tufan Ersoz,"Oct 2, 1980",1980,10,2,4,Baloncesto
3589,Sander Van Der Holst,"Mar 3, 1977",1977,3,3,1,Baloncesto
3591,Guy Kantor,"Mar 14, 1976",1976,3,14,1,Baloncesto
3594,Jacques Stas,"Feb 6, 1969",1969,2,6,1,Baloncesto
3596,Umut Gorur,"Jun 1, 1978",1978,6,1,2,Baloncesto
3597,Nuno Manarte,"Dec 8, 1975",1975,12,8,4,Baloncesto
3598,Herve Lamizana,"Jan 22, 1981",1981,1,22,1,Baloncesto
3599,Terrance Herbert,"Dec 27, 1976",1976,12,27,4,Baloncesto
3600,Luis Silva,"Oct 1, 1974",1974,10,1,4,Baloncesto
3601,Gatis Melderis,"Sep 4, 1983",1983,9,4,3,Baloncesto
3602,Alex Nunner,"Feb 2, 1985",1985,2,2,1,Baloncesto
3658,Josip Vrankovic,"Oct 28, 1968",1968,10,28,4,Baloncesto
3682,Fragkiskos Alvertis,"Jun 11, 1974",1974,6,11,2,Baloncesto
3684,Dusan Bocevski,"Nov 5, 1973",1973,11,5,4,Baloncesto
3719,Virginijus Praskevicius,"Mar 4, 1974",1974,3,4,1,Baloncesto
3753,Marijan Mance,"Jun 20, 1978",1978,6,20,2,Baloncesto
3762,Darius Maskoliunas,"Jan 6, 1971",1971,1,6,1,Baloncesto
3763,Alper Yilmaz,"Mar 28, 1975",1975,3,28,1,Baloncesto
3777,Sharif Fajardo,"Jun 9, 1976",1976,6,9,2,Baloncesto
3786,Laurent Bernard,"Jun 15, 1971",1971,6,15,2,Baloncesto
3802,Fabien Dubos,"Nov 10, 1977",1977,11,10,4,Baloncesto
3807,Demba Mbengue,"Dec 10, 1975",1975,12,10,4,Baloncesto
3810,Thomas Andrieux,"Jan 7, 1977",1977,1,7,1,Baloncesto
3813,Jean-Philippe Tailleman,"Jun 23, 1978",1978,6,23,2,Baloncesto
3821,Vincent Massingue,"Jan 31, 1976",1976,1,31,1,Baloncesto
3822,J.D. Jackson,"Feb 27, 1969",1969,2,27,1,Baloncesto
3823,Martynas Andriukaitis,"Mar 28, 1981",1981,3,28,1,Baloncesto
3826,Charles Mandic,"Jul 1, 1973",1973,7,1,3,Baloncesto
3831,Nedejko Asceric,"Aug 29, 1965",1965,8,29,3,Baloncesto
3834,Laurent Pluvy,"Jul 12, 1973",1973,7,12,3,Baloncesto
3838,Eric Micoud,"Mar 18, 1973",1973,3,18,1,Baloncesto
3839,Ali Bouziane,"Mar 25, 1977",1977,3,25,1,Baloncesto
3842,Jerome Monnet,"Sep 19, 1975",1975,9,19,3,Baloncesto
3843,Crawford Palmer,"Sep 14, 1970",1970,9,14,3,Baloncesto
3845,Regis Racine,"Oct 13, 1970",1970,10,13,4,Baloncesto
3848,Yamar Diene,"Feb 1, 1981",1981,2,1,1,Baloncesto
3851,Andrew Hunter,"Sep 21, 1979",1979,9,21,3,Baloncesto
3858,Uri Cohen-Mintz,"Aug 1, 1973",1973,8,1,3,Baloncesto
3860,Yorane Julians,"May 22, 1981",1981,5,22,2,Baloncesto
3861,Boban Savovic,"Nov 27, 1979",1979,11,27,4,Baloncesto
3862,Olivier Bardet,"Feb 28, 1980",1980,2,28,1,Baloncesto
3865,Thierry Gadou,"Jan 13, 1969",1969,1,13,1,Baloncesto
3872,Igor Perica,"Jun 11, 1969",1969,6,11,2,Baloncesto
3875,Nouha Diakite,"Dec 20, 1980",1980,12,20,4,Baloncesto
3876,Julien Doreau,"Jan 19, 1983",1983,1,19,1,Baloncesto
3878,Regis Boissie,"Dec 19, 1978",1978,12,19,4,Baloncesto
3879,Noel Nijean,"Jan 30, 1983",1983,1,30,1,Baloncesto
3886,Steeve Bourgeois,"Dec 18, 1977",1977,12,18,4,Baloncesto
3902,Sasa Obradovic,"Jan 29, 1969",1969,1,29,1,Baloncesto
3907,Matej Mamic,"Jan 13, 1975",1975,1,13,1,Baloncesto
3912,Vilius Gabsys,"Apr 26, 1979",1979,4,26,2,Baloncesto
3917,Marko Pesic,"Dec 6, 1976",1976,12,6,4,Baloncesto
3918,Ben Ebong,"Jan 20, 1976",1976,1,20,1,Baloncesto
3922,Spyridon Panteliadis,"Jan 30, 1977",1977,1,30,1,Baloncesto
3925,Souleymane Wane,"Jan 28, 1976",1976,1,28,1,Baloncesto
3933,Marko Samanic,"May 11, 1974",1974,5,11,2,Baloncesto
3934,Singaras Tribe,"Nov 2, 1970",1970,11,2,4,Baloncesto
3948,Frank Drmic,"Feb 7, 1978",1978,2,7,1,Baloncesto
3953,Konstantinos Stavropoulos,"Feb 7, 1975",1975,2,7,1,Baloncesto
3959,Tein Tanel,"Jan 10, 1978",1978,1,10,1,Baloncesto
3960,Daniel Strauch,"Jan 8, 1981",1981,1,8,1,Baloncesto
3962,Radivoj Tomasevic,"Jul 21, 1978",1978,7,21,3,Baloncesto
3969,Mike Nahar,"May 7, 1971",1971,5,7,2,Baloncesto
3970,Joaquim Gomes,"Dec 23, 1980",1980,12,23,4,Baloncesto
3974,Bruno Roschnafsky,"Apr 4, 1970",1970,4,4,2,Baloncesto
3975,Andy Kwiatkowski,"Jan 17, 1979",1979,1,17,1,Baloncesto
3983,Gordan Firic,"Sep 1, 1970",1970,9,1,3,Baloncesto
3984,Mikko Noopila,"Jun 3, 1977",1977,6,3,2,Baloncesto
3985,Detlef Musch,"Mar 28, 1970",1970,3,28,1,Baloncesto
3987,Kristofer Speier,"Mar 28, 1981",1981,3,28,1,Baloncesto
3988,Ernest Novak,"Jun 5, 1977",1977,6,5,2,Baloncesto
3991,James Marsh,"Jul 14, 1970",1970,7,14,3,Baloncesto
3993,Branko Klepac,"Sep 14, 1979",1979,9,14,3,Baloncesto
4002,Raymond Tutt,"Sep 16, 1975",1975,9,16,3,Baloncesto
4070,Nacho Rodilla,"Mar 12, 1974",1974,3,12,1,Baloncesto
4073,Stephen Arigbabu,"Feb 15, 1972",1972,2,15,1,Baloncesto
4081,Sinisa Kelecevic,"Apr 10, 1970",1970,4,10,2,Baloncesto
4083,Walter Santarossa,"Sep 14, 1978",1978,9,14,3,Baloncesto
4087,Hugo Ariel Sconochini,"Apr 10, 1971",1971,4,10,2,Baloncesto
4093,Alberto Rossini,"Jun 10, 1969",1969,6,10,2,Baloncesto
4100,Cristiano Zanus Fortes,"Jul 20, 1971",1971,7,20,3,Baloncesto
4317,Shawn Bradley,"Mar 22, 1972",1972,3,22,1,Baloncesto
4474,Arvydas Macijauskas,"Jan 19, 1980",1980,1,19,1,Baloncesto
4506,Jorge Oscar Racca,"Sep 4, 1971",1971,9,4,3,Baloncesto
4533,Nikola Loncar,"May 31, 1972",1972,5,31,2,Baloncesto
4546,Alberto Angulo,"Jun 19, 1970",1970,6,19,2,Baloncesto
4548,Alberto Herreros,"Apr 20, 1969",1969,4,20,2,Baloncesto
4553,Jesse Young,"Apr 29, 1980",1980,4,29,2,Baloncesto
4557,Jaume Comas,"Aug 2, 1974",1974,8,2,3,Baloncesto
4558,Carlos Cherry,"Oct 25, 1979",1979,10,25,4,Baloncesto
4567,Alfonso Reyes,"Sep 19, 1971",1971,9,19,3,Baloncesto
4573,Fran Rueda,"Mar 9, 1976",1976,3,9,1,Baloncesto
4585,Salva Camps,"May 19, 1979",1979,5,19,2,Baloncesto
4586,Alejandro Ariel Montecchia,"Jan 1, 1972",1972,1,1,1,Baloncesto
4705,Nikolay Padius,"Sep 1, 1980",1980,9,1,3,Baloncesto
4712,Zlatko Bolic,"Feb 6, 1974",1974,2,6,1,Baloncesto
4749,Nikolaos Ekonomou,"Feb 19, 1973",1973,2,19,1,Baloncesto
4764,Armands Skele,"Sep 4, 1983",1983,9,4,3,Baloncesto
4770,Goran Jeretin,"Sep 17, 1979",1979,9,17,3,Baloncesto
4774,Martin Muursepp,"Sep 26, 1974",1974,9,26,3,Baloncesto
4809,Niels Meijer,"Nov 24, 1980",1980,11,24,4,Baloncesto
4821,Tolga Tekinalp,"Dec 28, 1974",1974,12,28,4,Baloncesto
4822,Spyridon Kekelis,"Jan 30, 1980",1980,1,30,1,Baloncesto
4823,Nate Reinking,"Dec 12, 1973",1973,12,12,4,Baloncesto
4824,Slavko Stefanovic,"Jan 28, 1991",1991,1,28,1,Baloncesto
4825,Dimitrios Marmarinos,"May 14, 1976",1976,5,14,2,Baloncesto
4827,Valentin Kubrakov,"Jul 25, 1972",1972,7,25,3,Baloncesto
4830,Francisco Rodrigues,"Jun 8, 1978",1978,6,8,2,Baloncesto
4837,Sergey Toporov,"Jan 3, 1981",1981,1,3,1,Baloncesto
4843,Ugis Vilums,"Jul 28, 1979",1979,7,28,3,Baloncesto
