,Nombre,Nacimiento,País,year,month,day,trimestre
77,Ardiansyah,1951-12-05,Indonesia,1951,12,5,4
78,"Arenas, David",1991-12-24,Colombia,1991,12,24,4
79,"Arencibia Rodríguez, Walter",1967-07-21,Cuba,1967,7,21,3
80,"Areshchenko, Alexander",1986-06-15,Ukraine,1986,6,15,2
81,"Arizmendi Martínez, Julen Luís",1976-07-05,Spain,1976,7,5,3
82,Arjun Kalyan,2002-06-17,India,2002,6,17,2
83,"Arkell, Keith C.",1961-01-08,England,1961,1,8,1
84,"Arkhipov, Sergey",1954-06-23,Russia,1954,6,23,2
85,"Árnason, Jón L.",1960-11-13,Iceland,1960,11,13,4
86,"Arnaudov, G. Petar",1986-08-08,Bulgaria,1986,8,8,3
87,"Arnold, Marc",1992-11-20,United States,1992,11,20,4
88,"Aronian, Levon",1982-10-06,Armenia,1982,10,6,4
89,"Aroshidze, Levan",1985-07-09,Georgia,1985,7,9,3
90,"Arribas Lopez, Angel",1993-11-27,Spain,1993,11,27,4
91,"Artemiev, Vladislav",1998-03-05,Russia,1998,3,5,1
92,"Arun Prasad, S.",1988-04-21,India,1988,4,21,2
93,"Arutinian, David",1984-05-31,Georgia,1984,5,31,2
94,Aryan Chopra,2001-12-10,India,2001,12,10,4
95,"Arzumanian, Georgy",1980-08-16,Armenia,1980,8,16,3
96,"Asadli, Vugar",2001-10-09,Azerbaijan,2001,10,9,4
97,"Asanov, Bolat",1961-05-07,Kazakhstan,1961,5,7,2
98,"Aseev, Konstantin",1960-10-20,Russia,1960,10,20,4
99,"Ashley, Maurice",1966-03-06,United States,1966,3,6,1
100,"Asis Gargatagli, Hipolito",1986-08-17,Spain,1986,8,17,3
101,"Askarov, Marat",1987-06-29,Russia,1987,6,29,2
102,"Asrian, Karen",1980-04-24,Armenia,1980,4,24,2
103,"Atabayev, Maksat",1994-12-28,Turkmenistan,1994,12,28,4
104,"Atalık, Suat",1964-10-10,Turkey,1964,10,10,4
105,"Averbakh, Yuri L.",1922-02-08,Soviet Union,1922,2,8,1
106,"Aveskulov, Valeriy",1986-01-31,Ukraine,1986,1,31,1
107,"Avrukh, Boris",1978-02-10,Israel,1978,2,10,1
108,"Azarov, Sergei",1983-05-19,Belarus,1983,5,19,2
109,"Azmaipara­shvili, Zurab",1960-03-16,Soviet Union,1960,3,16,1
110,"Babaev, Rashad",1981-09-03,Azerbaijan,1981,9,3,3
111,"Babujian, Levon",1986-05-08,Armenia,1986,5,8,2
112,"Babula, Vlastimil",1973-10-02,Czech Republic,1973,10,2,4
113,"Baburin, Alexander",1967-02-19,Israel,1967,2,19,1
114,"Bacallao Alonso, Yusnel",1988-06-21,Cuba,1988,6,21,2
115,"Bachmann, Axel",1989-11-04,Paraguay,1989,11,4,4
116,"Bacrot, Étienne",1983-01-22,France,1983,1,22,1
117,"Badea, Bela",1969-02-21,Romania,1969,2,21,1
118,"Bagaturov, Giorgi",1964-11-28,Georgia,1964,11,28,4
119,"Baghdasaryan, Vahe",1993-03-20,Armenia,1993,3,20,1
120,"Bagheri, Amir",1978-09-20,Iran,1978,9,20,3
121,"Bagirov, Rufat",1979-10-10,Azerbaijan,1979,10,10,4
122,"Bagirov, Vladimir",1936-08-16,Soviet Union,1936,8,16,3
123,"Bagrationi, Alexander",1990-07-13,Ukraine,1990,7,13,3
124,Bai Jinshi,1999-05-18,China,1999,5,18,2
125,"Bajarani, Ulvi",1995-01-27,Azerbaijan,1995,1,27,1
126,"Baklan, Vladimir",1978-02-25,Ukraine,1978,2,25,1
127,"Bakre, Tejas",1981-05-12,India,1981,5,12,2
128,"Balakrishnan, Praveen",2002-05-21,United States,2002,5,21,2
129,"Balashov, Yuri S.",1949-03-12,Soviet Union,1949,3,12,1
130,"Baldauf, Marco",1990-04-16,Germany,1990,4,16,2
131,"Balinas, Rosendo Jr.",1941-09-10,Philippines,1941,9,10,3
132,"Balinov, Ilia",1966-07-28,Austria,1966,7,28,3
133,"Balog, Imre",1991-10-28,Hungary,1991,10,28,4
134,"Balogh, Csaba",1987-03-10,Hungary,1987,3,10,1
135,"Banikas, Hristos",1978-05-20,Greece,1978,5,20,2
136,"Bánusz, Tamás",1989-04-08,Hungary,1989,4,8,2
137,"Baramidze, David",1988-09-27,Germany,1988,9,27,3
138,"Barbero, Gerardo",1961-08-21,Argentina,1961,8,21,3
139,"Barbosa, Evandro Amorim",1992-08-24,Brazil,1992,8,24,3
140,"Barbosa, Oliver",1986-09-29,Philippines,1986,9,29,3
141,"Barcenilla, Rogelio",1972-01-23,Philippines,1972,1,23,1
142,"Barcza, Gedeon",1911-08-21,Hungary,1911,8,21,3
143,"Bárczay, László",1936-02-21,Hungary,1936,2,21,1
144,"Bareev, Evgeny",1966-11-21,Soviet Union,1966,11,21,4
145,"Barlov, Dragan",1957-01-30,Yugoslavia,1957,1,30,1
146,"Baron, Tal",1992-08-07,Israel,1992,8,7,3
147,"Barrientos, Sergio E.",1986-06-29,Colombia,1986,6,29,2
148,"Barsov, Alexei",1966-04-03,Uzbekistan,1966,4,3,2
149,"Bartel, Mateusz",1985-01-03,Poland,1985,1,3,1
150,"Barua, Dibyendu",1966-10-27,India,1966,10,27,4
151,"Barus, Cerdas",1962-01-01,Indonesia,1962,1,1,1
152,"Baryshpolets, Andrey",1991-01-16,Ukraine,1991,1,16,1
153,"Basso, Pier Luigi",1997-12-15,Italy,1997,12,15,4
154,"Batchuluun, Tsegmed",1987-02-04,Mongolia,1987,2,4,1
155,"Batsiashvili, Nino",1987-01-01,Georgia,1987,1,1,1
156,"Batsuren, Dambasuren",2004-01-22,Mongolia,2004,1,22,1
157,"Batyrov, Sapar",1967-11-29,Turkmenistan,1967,11,29,4
158,"Bauer, Christian",1977-01-11,France,1977,1,11,1
159,"Becerra Rivero, Julio",1973-10-15,Cuba,1973,10,15,4
160,"Bedia, Melor",1979-09-26,Russia,1979,9,26,3
161,"Beim, Valeri",1950-03-17,Israel,1950,3,17,1
162,"Beliavsky, Alexander G.",1953-12-17,Soviet Union,1953,12,17,4
163,"Belikov, Vladimir",1971-08-02,Russia,1971,8,2,3
164,"Belkhodja, Slim",1962-11-23,Tunisia,1962,11,23,4
165,"Bellahcene, Bilel",1998-03-14,France,1998,3,14,1
166,"Bellón López, Juan Manuel",1950-05-08,Spain,1950,5,8,2
167,"Belous, Vladimir",1993-07-29,Russia,1993,7,29,3
168,"Belov, Vladimir",1984-08-06,Russia,1984,8,6,3
169,"Belozerov, Andrei",1977-06-17,Russia,1977,6,17,2
170,"Benidze, Davit",1991-02-15,Georgia,1991,2,15,1
171,"Benjamin, Joel",1964-03-11,United States,1964,3,11,1
172,"Benko, Pal",1928-07-15,United States,1928,7,15,3
173,"Bérczes, Dávid",1990-01-14,Hungary,1990,1,14,1
174,"Berdichevski, Igor",1964-07-15,Russia,1964,7,15,3
175,"Berelowitsch, Alexander",1967-07-02,Ukraine,1967,7,2,3
176,"Berescu, Alin-Mile",1980-04-14,Romania,1980,4,14,2
177,"Berg, Emanuel",1981-12-28,Sweden,1981,12,28,4
178,"Berkes, Ferenc",1985-08-08,Hungary,1985,8,8,3
179,"Bernadskiy, Vitaliy",1994-10-17,Ukraine,1994,10,17,4
180,"Bernášek, Jan",1986-05-31,Czech Republic,1986,5,31,2
181,"Bernstein, Ossip",1882-10-02,France,1882,10,2,4
182,"Beshukov, Sergei",1971-04-01,Russia,1971,4,1,2
183,"Bezgodov, Alexei",1969-06-30,Russia,1969,6,30,2
184,"Bezold, Michael",1972-05-23,Germany,1972,5,23,2
185,"Bhat, Vinay",1984-06-04,United States,1984,6,4,2
186,"Bilguun, Sumiya",1997-03-25,Mongolia,1997,3,25,1
187,"Bilek, István",1932-08-11,Hungary,1932,8,11,3
188,"Bindrich, Falko",1990-10-17,Germany,1990,10,17,4
189,"Bischoff, Klaus",1961-06-09,West Germany,1961,6,9,2
190,"Bisguier, Arthur",1929-10-08,United States,1929,10,8,4
191,"Bistrić, Faruk",1958-10-01,Bosnia and Herzegovina,1958,10,1,4
192,"Bitoon, Richard",1975-12-14,Philippines,1975,12,14,4
193,"Biyiasas, Peter",1950-11-19,Canada,1950,11,19,4
194,"Bjerre, Jonas Buhl",2004-06-26,Denmark,2004,6,26,2
195,"Blagojević, Dragiša",1966-01-01,Serbia and Montenegro,1966,1,1,1
196,"Blatný, Pavel",1968-06-22,Czech Republic,1968,6,22,2
197,"Blehm, Paweł",1980-04-17,Poland,1980,4,17,2
198,"Blomqvist, Erik",1990-10-19,Sweden,1990,10,19,4
199,"Blübaum, Matthias",1997-04-18,Germany,1997,4,18,2
200,"Bluvshtein, Mark",1988-04-20,Canada,1988,4,20,2
201,"Bobotsov, Milko",1931-10-30,Bulgaria,1931,10,30,4
202,"Bobras, Piotr",1977-09-09,Poland,1977,9,9,3
203,"Bocharov, Dmitry",1982-10-20,Russia,1982,10,20,4
204,"Bocharov, Ivan",1990-01-06,Russia,1990,1,6,1
205,"Bogdanovich, Stanislav",1993-02-04,Ukraine,1993,2,4,1
206,"Bogdanovski, Vlatko",1964-12-31,North Macedonia,1964,12,31,4
207,"Bogner, Sebastian",1991-01-17,Germany,1991,1,17,1
208,"Bogoljubov, Efim",1889-04-14,West Germany,1889,4,14,2
209,"Bogosavljević, Boban",1988-04-26,Serbia,1988,4,26,2
210,"Bojkov, Dejan",1977-07-03,Bulgaria,1977,7,3,3
211,"Bok, Benjamin",1995-01-25,Netherlands,1995,1,25,1
212,"Bolbochán, Julio",1920-03-20,Argentina,1920,3,20,1
213,"Boleslavsky, Isaac",1919-06-09,Soviet Union,1919,6,9,2
214,"Bologan, Victor",1971-12-14,Moldova,1971,12,14,4
215,"Bondarevsky, Igor",1913-05-12,Soviet Union,1913,5,12,2
216,"Bönsch, Uwe",1958-10-15,West Germany,1958,10,15,4
217,"Böök, Eero",1910-02-09,Finland,1910,2,9,1
218,"Borges Mateos, Juan",1966-03-28,Cuba,1966,3,28,1
219,"Borišek, Jure",1986-07-27,Slovenia,1986,7,27,3
220,"Boros, Dénes",1988-04-30,Hungary,1988,4,30,2
221,"Borovikov, Vladislav",1973-08-10,Ukraine,1973,8,10,3
222,"Bortnyk, Olexandr",1996-10-18,Ukraine,1996,10,18,4
223,"Boruchovsky, Avital",1997-03-15,Israel,1997,3,15,1
224,"Bosiočić, Marin",1988-08-08,Croatia,1988,8,8,3
225,"Botvinnik, Mikhail",1911-08-17,Soviet Union,1911,8,17,3
226,"Bouaziz, Slim",1950-04-16,Tunisia,1950,4,16,2
227,"Brandenburg, Daan",1987-11-14,Netherlands,1987,11,14,4
228,"Braun, Arik",1988-02-08,Germany,1988,2,8,1
229,"Brenjo, Slaviša",1974-04-02,Serbia,1974,4,2,2
230,"Bricard, Emmanuel",1966-05-04,France,1966,5,4,2
231,"Brkić, Ante",1988-03-31,Croatia,1988,3,31,1
232,"Brodsky, Michail",1969-03-27,Ukraine,1969,3,27,1
233,"Bromberger, Stefan",1982-03-19,Germany,1982,3,19,1
234,"Bronstein, David",1924-02-19,Soviet Union,1924,2,19,1
235,"Brown, Michael",1997-08-24,United States,1997,8,24,3
236,"Browne, Walter",1949-01-10,Australia,1949,1,10,1
237,"Brunello, Sabino",1989-06-27,Italy,1989,6,27,2
238,"Brunner, Lucas",1967-05-29,Switzerland,1967,5,29,2
239,"Bruzón Batista, Lázaro",1982-05-02,Cuba,1982,5,2,2
240,"Brynell, Stellan",1962-09-28,Sweden,1962,9,28,3
241,"Bryzgalin, Kirill",1982-12-14,Russia,1982,12,14,4
242,Bu Xiangzhi,1985-12-10,China,1985,12,10,4
243,"Budisavljevic, Luka",2004-01-22,Serbia,2004,1,22,1
244,"Buhmann, Rainer",1981-02-20,Germany,1981,2,20,1
245,"Bùi, Vĩnh",1976-12-25,Vietnam,1976,12,25,4
246,"Bukavshin, Ivan",1995-05-03,Russia,1995,5,3,2
247,"Bukić, Enver",1937-12-02,Yugoslavia,1937,12,2,4
248,"Bulski, Krzysztof",1987-02-12,Poland,1987,2,12,1
249,"Bunzmann, Dimitrij",1982-02-21,Germany,1982,2,21,1
250,"Burg, Twan",1990-04-02,Netherlands,1990,4,2,2
251,"Burke, John M.",2001-07-01,United States,2001,7,1,3
252,"Burmakin, Vladimir",1967-06-06,Russia,1967,6,6,2
253,"Butnorius, Algimantas",1946-11-20,Lithuania,1946,11,20,4
254,"Bykhovsky, Anatoly",1988-11-19,Israel,1988,11,19,4
255,"Bykhovsky, Avigdor",1955-03-05,Russia,1955,3,5,1
256,"Byrne, Robert",1928-04-20,United States,1928,4,20,2
257,"Cabrera, Alexis",1976-12-25,Colombia,1976,12,25,4
258,"Čabrilo, Goran",1958-07-01,Yugoslavia (S&M),1958,7,1,3
259,"Cámpora, Daniel H.",1957-06-30,Argentina,1957,6,30,2
260,"Campos Moreno, Javier B.",1959-03-06,Chile,1959,3,6,1
261,"Can, Emre",1990-01-21,Turkey,1990,1,21,1
262,"Canal, Esteban",1896-04-19,Peru,1896,4,19,2
263,Cao Sang,1973-09-06,Hungary,1973,9,6,3
264,"Carlsen, Magnus",1990-11-30,Norway,1990,11,30,4
265,"Carlsson, Pontus",1982-12-18,Sweden,1982,12,18,4
266,"Caruana, Fabiano",1992-07-30,Italy,1992,7,30,3
267,"Caspi, Israel",1989,Israel,1989,1,1,1
268,"Castañeda, Georgui",1976-08-02,Peru,1976,8,2,3
269,"Cebalo, Mišo",1945-02-06,Yugoslavia,1945,2,6,1
270,"Chabanon, Jean-Luc",1971-08-13,France,1971,8,13,3
271,"Chadaev, Nikolai",1988-07-09,Russia,1988,7,9,3
272,"Chanda, Sandipan",1983-08-13,India,1983,8,13,3
273,"Chandler, Murray G.",1960-04-04,New Zealand,1960,4,4,2
274,"Chandra, Akshat",1999-05-28,United States,1999,5,28,2
275,"Charbonneau, Pascal",1983-05-06,Canada,1983,5,6,2
276,"Charnushevich, Aliaksei",1978-12-18,France,1978,12,18,4
277,"Chatalbashev, Boris",1974-01-30,Bulgaria,1974,1,30,1
278,"Checa, Nicolas",2001-12-19,United States,2001,12,19,4
279,"Chekhov, Valery A.",1955-11-27,Soviet Union,1955,11,27,4
280,"Cheng, Bobby",1997-03-20,Australia,1997,3,20,1
281,"Cheparinov, Ivan",1986-11-26,Bulgaria,1986,11,26,4
282,"Cherniaev, Alexander",1969-08-26,Russia,1969,8,26,3
283,"Chernikov, Oleg",1936-10-15,Russia,1936,10,15,4
284,"Chernin, Alexander",1960-03-06,Soviet Union,1960,3,6,1
285,"Chernobay, Artem",1989-06-23,Russia,1989,6,23,2
286,"Chernyshov, Konstantin",1967-06-11,Russia,1967,6,11,2
287,"Chibukhchian, Artur",1979-10-06,Armenia,1979,10,6,4
288,"Chiburdanidze, Maia",1961-01-17,Soviet Union,1961,1,17,1
289,"Chigaev, Maksim",1996-11-07,Russia,1996,11,7,4
290,"Chirilă, Ioan-Cristian",1991-01-06,Romania,1991,1,6,1
291,"Christiansen, Johan-Sebastian",1998-06-10,Norway,1998,6,10,2
292,"Christiansen, Larry",1956-06-27,United States,1956,6,27,2
293,"Chuchelov, Vladimir",1969-09-28,Belgium,1969,9,28,3
294,"Chuprov, Dmitry",1978-05-10,Russia,1978,5,10,2
295,"Cicak, Slavko",1969-10-25,Sweden,1969,10,25,4
296,"Cifuentes Parada, Roberto",1957-12-21,Netherlands,1957,12,21,4
297,"Ciocâltea, Victor",1932-01-16,Romania,1932,1,16,1
298,"Čirić, Dragoljub",1935-11-12,Yugoslavia,1935,11,12,4
299,"Čmilytė, Viktorija",1983-08-06,Lithuania,1983,8,6,3
300,"Čolović, Aleksandar",1976-01-06,North Macedonia,1976,1,6,1
301,"Comas Fabregó, Lluis",1971-06-22,Spain,1971,6,22,2
302,"Conquest, Stuart C.",1967-03-01,England,1967,3,1,1
303,"Córdova, Emilio",1991-07-08,Peru,1991,7,8,3
304,"Cori, Jorge",1995-07-30,Peru,1995,7,30,3
305,"Cori Quispe, Kevin Joel",1999-08-02,Peru,1999,8,2,3
306,"Cornette, Matthieu",1985-09-04,France,1985,9,4,3
307,"Corrales Jimenez, Fidel",1987-07-07,Cuba,1987,7,7,3
308,"Cramling, Pia",1963-04-23,Sweden,1963,4,23,2
309,"Cruz, Cristhian",1992-02-07,Peru,1992,2,7,1
310,"Csom, István",1940-06-02,Hungary,1940,6,2,2
311,"Cuartas, Jaime Alexander",1975-10-28,Colombia,1975,10,28,4
312,"Cubas, José Fernando",1981-04-09,Paraguay,1981,4,9,2
313,"Cuenca Jiménez, José Fernando",1987-03-17,Spain,1987,3,17,1
314,"Cvek, Robert",1979-01-06,Czech Republic,1979,1,6,1
315,"Cvitan, Ognjen",1961-10-10,Yugoslavia,1961,10,10,4
316,"Cyborowski, Łukasz",1980-06-21,Poland,1980,6,21,2
317,"Czarnota, Paweł",1988-04-14,Poland,1988,4,14,2
318,"Czebe, Attila",1975-12-26,Hungary,1975,12,26,4
319,"Dake, Arthur",1910-04-08,United States,1910,4,8,2
320,"Dambacher, Martijn",1979-10-22,Netherlands,1979,10,22,4
321,"Damjanović, Mato",1927-03-23,Yugoslavia,1927,3,23,1
322,"Damljanović, Branko",1961-06-17,Yugoslavia,1961,6,17,2
323,"Danielian, Elina",1978-08-16,Armenia,1978,8,16,3
324,"Danielian, Oganes",1974-01-03,Armenia,1974,1,3,1
325,"Danielsen, Henrik",1966-01-21,Denmark,1966,1,21,1
326,"Danin, Alexandre",1986-03-14,Russia,1986,3,14,1
327,Đào Thiên Hải,1978-05-10,Vietnam,1978,5,10,2
328,"Dardha, Daniel",2005-10-01,Belgium,2005,10,1,4
329,"Darga, Klaus",1934-02-24,West Germany,1934,2,24,1
330,"Darini, Pouria",1991-01-24,Iran,1991,1,24,1
331,"Daştan, Muhammed Batuhan",1997-08-07,Turkey,1997,8,7,3
332,"Dautov, Rustem",1965-11-28,Soviet Union,1965,11,28,4
333,"David, Alberto",1970-03-26,Luxembourg,1970,3,26,1
334,"Davies, Nigel R",1960-07-31,England,1960,7,31,3
335,"De Vreugt, Dennis",1980-11-04,Netherlands,1980,11,4,4
336,"Deac, Bogdan-Daniel",2001-10-08,Romania,2001,10,8,4
337,"Debashis, Das",1993-06-27,India,1993,6,27,2
338,Deepan Chakkravarthy J.,1987-06-03,India,1987,6,3,2
339,"De Firmian, Nick",1957-07-26,United States,1957,7,26,3
340,"Degraeve, Jean-Marc",1971-01-26,France,1971,1,26,1
341,"De La Paz Perdomo, Frank",1975-05-24,Cuba,1975,5,24,2
342,"De La Riva Aguado, Oscar",1972-07-15,Andorra,1972,7,15,3
343,"De La Villa Garcia, Jesús Maria",1958-06-30,Spain,1958,6,30,2
344,"Delchev, Aleksander",1971-07-15,Bulgaria,1971,7,15,3
345,"Delgado Ramírez, Neuris",1981-09-17,Cuba,1981,9,17,3
346,"Delorme, Axel",1990-05-08,France,1990,5,8,2
347,"Del Río De Angelis, Salvador G.",1976-10-02,Spain,1976,10,2,4
348,"Dely, Péter",1934-07-05,Hungary,1934,7,5,3
349,"Demchenko, Anton",1987-08-20,Russia,1987,8,20,3
350,"Demidov, Mikhail",1992-06-17,Russia,1992,6,17,2
351,"Demuth, Adrien",1991-04-14,France,1991,4,14,2
352,"Denker, Arnold",1914-02-21,United States,1914,2,21,1
353,"Dervishi, Erald",1979-11-10,Albania,1979,11,10,4
354,"Deviatkin, Andrei",1980-10-07,Russia,1980,10,7,4
355,"Dgebuadze, Alexandre",1971-05-21,Soviet Union,1971,5,21,2
356,"Diamant, André",1990-02-09,Brazil,1990,2,9,1
357,"Diermair, Andreas",1986-09-29,Austria,1986,9,29,3
358,"Díez del Corral, Jesús",1933-04-06,Spain,1933,4,6,2
359,"Dimitrov, Radoslav",1993-03-27,Bulgaria,1993,3,27,1
360,"Dimitrov, Vladimir",1968-04-11,Bulgaria,1968,4,11,2
361,Ding Liren,1992-10-24,China,1992,10,24,4
362,"Dizdar, Goran",1958-12-04,Yugoslavia,1958,12,4,4
363,"Dizdarević, Emir",1958-04-02,Yugoslavia,1958,4,2,2
364,"Djukić, Nikola",1983-01-26,Serbia and Montenegro,1983,1,26,1
365,"Djurhuus, Rune",1970-01-25,Norway,1970,1,25,1
366,"Djurić, Stefan",1955-07-26,Yugoslavia,1955,7,26,3
367,"Dlugy, Maxim",1966-01-29,United States,1966,1,29,1
368,"Dobrov, Vladimir",1984-04-13,Russia,1984,4,13,2
369,"Dokhoian, Yury",1964-10-26,Soviet Union,1964,10,26,4
370,"Dolmatov, Sergey",1959-02-20,Soviet Union,1959,2,20,1
371,"Domínguez Pérez, Leinier",1983-09-23,United States,1983,9,23,3
372,"Domogaev, Sergey",1964-11-07,Russia,1964,11,7,4
373,"Donchenko, Alexander",1998-03-22,Germany,1998,3,22,1
374,"Donchev, Dimitar I.",1958-07-21,Bulgaria,1958,7,21,3
375,"Donner, Johannes Hendrikus",1927-07-06,Netherlands,1927,7,6,3
376,"Dorfman, Iossif",1952-05-01,Soviet Union,1952,5,1,2
377,"Döttling, Fabian",1980-08-04,Germany,1980,8,4,3
378,"Dourerassou, Jonathan",1989-04-10,France,1989,4,10,2
379,"Dragnev, Valentin",1999-03-05,Austria,1999,3,5,1
380,"Dragun, Kamil",1995-06-25,Poland,1995,6,25,2
381,"Draško, Milan",1962-12-06,Yugoslavia (S&M),1962,12,6,4
382,"Dražić, Siniša",1967-12-16,Yugoslavia (S&M),1967,12,16,4
383,"Dreev, Aleksey",1969-01-30,Russia,1969,1,30,1
384,"Drenchev, Petar",1977-04-25,Bulgaria,1977,4,25,2
385,"Drozdovskij, Yuri",1984-05-22,Ukraine,1984,5,22,2
386,"Dubov, Daniil",1996-04-18,Russia,1996,4,18,2
387,"Duda, Jan-Krzysztof",1998-04-26,Poland,1998,4,26,2
388,"Durarbayli, Vasif",1992-02-24,Azerbaijan,1992,2,24,1
389,"Duras, Oldřich",1882-10-30,Czecho­slovakia,1882,10,30,4
390,"Dvirnyy, Danyyil",1990-10-21,Italy,1990,10,21,4
391,"Dvoirys, Semen I.",1958-11-02,Russia,1958,11,2,4
392,"Dyachkov, Sergej",1976-11-06,Russia,1976,11,6,4
393,"Dydyshko, Viacheslav",1949-04-10,Belarus,1949,4,10,2
394,"Dzagnidze, Nana",1987-01-01,Georgia,1987,1,1,1
