,short_name,player_positions,overall,nationality_name,age,dob,height_cm,weight_kg,year,month,day,trimestre
99,T. Wullaert,"ST, LW, CAM",81,Belgium,28,1993-03-19,168,60,1993,3,19,1
100,Wang Shuang,"ST, CAM",80,China PR,26,1995-01-23,165,59,1995,1,23,1
101,Tang Jiali,"ST, RM, LM",80,China PR,26,1995-03-16,166,52,1995,3,16,1
102,E. Kellond-Knight,"CDM, LB, CM",80,Australia,30,1990-08-10,165,60,1990,8,10,3
107,J. Beckie,"LM, RM",80,Canada,26,1994-08-20,173,63,1994,8,20,3
108,S. LabbÃ©,GK,80,Canada,34,1986-10-10,178,64,1986,10,10,4
109,M. Torrent,RB,80,France,29,1992-04-17,164,53,1992,4,17,2
111,A. Riley,"LB, LM, LWB",80,New Zealand,33,1987-10-30,164,54,1987,10,30,4
113,F. Rauch,"LB, LM",80,Germany,25,1996-04-30,167,61,1996,4,30,2
115,G. Geyoro,"CDM, CB",80,France,23,1997-07-02,166,60,1997,7,2,3
116,K. Sheridan,GK,80,Canada,25,1995-07-16,176,72,1995,7,16,3
118,Peng Shimeng,GK,80,China PR,23,1998-05-12,182,70,1998,5,12,2
121,L. Freigang,"ST, RW",80,Germany,23,1998-02-11,172,64,1998,2,11,1
122,J. Cayman,"RW, LW, ST",80,Belgium,32,1988-10-12,167,61,1988,10,12,4
123,Liu Shanshan,LB,79,China PR,29,1992-03-16,169,65,1992,3,16,1
124,E. van Egmond,"CM, CAM, CF",79,Australia,27,1993-07-12,179,70,1993,7,12,3
125,H. Raso,"RW, LW",79,Australia,26,1994-09-05,162,59,1994,9,5,3
127,S. Mayor,"CAM, CM, RM",79,Mexico,29,1991-09-23,162,58,1991,9,23,3
128,R. Percival,"RB, CDM",79,New Zealand,31,1989-12-07,161,57,1989,12,7,4
131,E. Perisset,RB,79,France,26,1994-12-24,160,55,1994,12,24,4
138,T. De Caigny,"ST, CAM",79,Belgium,24,1997-06-09,175,62,1997,6,9,2
139,Li Ying,"LM, ST, RM",78,China PR,28,1993-01-07,170,61,1993,1,7,1
140,Ma Jun,"CM, CDM",78,China PR,32,1989-03-06,173,55,1989,3,6,1
141,A. Ilestedt,CB,78,Sweden,28,1993-01-17,178,65,1993,1,17,1
142,A. Kennedy,"CB, CDM",78,Australia,26,1995-01-21,176,63,1995,1,21,1
143,K. Gorry,"CM, CAM",78,Australia,28,1992-08-13,154,54,1992,8,13,3
144,Marta Corredera,"RB, RM, LB",78,Spain,29,1991-08-08,162,59,1991,8,8,3
145,J. Fleming,"CM, CAM",78,Canada,23,1998-03-11,165,53,1998,3,11,1
146,Amanda Sampedro,"RM, CM, CAM",78,Spain,28,1993-06-26,161,55,1993,6,26,2
147,E. Nayler,GK,78,New Zealand,29,1992-04-17,175,68,1992,4,17,2
148,S. Karchaoui,LB,78,France,25,1996-01-26,160,55,1996,1,26,1
151,Patri Guijarro,"CM, CAM",78,Spain,23,1998-05-17,170,64,1998,5,17,2
152,Z. MuÅ¡oviÄ,GK,78,Sweden,25,1996-05-26,178,66,1996,5,26,2
157,Wang Shanshan,"ST, LM, RM",77,China PR,31,1990-01-27,169,57,1990,1,27,1
158,Zhang Xin,"RM, LM, ST",77,China PR,29,1992-05-23,170,56,1992,5,23,2
159,O. Schough,"LW, LWB",77,Sweden,30,1991-03-11,172,60,1991,3,11,1
160,E. Rubensson,"CDM, CM",77,Sweden,28,1993-05-11,166,60,1993,5,11,2
161,C. Polkinghorne,CB,77,Australia,32,1989-02-01,171,67,1989,2,1,1
162,T. Yallop,"CAM, CM",77,Australia,30,1991-06-16,158,55,1991,6,16,2
163,Virginia Torrecilla,"CDM, CM",77,Spain,26,1994-09-04,174,63,1994,9,4,3
164,Vicky Losada,"CM, LM, RM",77,Spain,30,1991-03-05,168,60,1991,3,5,1
165,C. Fiskerstrand,GK,77,Norway,25,1996-03-20,174,66,1996,3,20,1
166,E. McLeod,GK,77,Canada,38,1983-02-26,173,73,1983,2,26,1
167,K. Bowen,"CM, CDM, RB",77,New Zealand,27,1994-04-15,170,56,1994,4,15,2
168,J. Andersson,"LB, LWB",77,Sweden,28,1993-01-02,167,64,1993,1,2,1
170,Mariona,"LW, RW, CAM",77,Spain,25,1996-03-19,164,61,1996,3,19,1
171,Aitana BonmatÃ­,"RM, CM, LM",77,Spain,23,1998-01-18,161,51,1998,1,18,1
172,V. Risa,"CM, CDM",77,Norway,25,1995-07-13,164,67,1995,7,13,3
173,Lin Yuping,CB,77,China PR,29,1992-02-28,180,63,1992,2,28,1
178,N. BjÃ¶rn,"RB, CB, CDM",77,Sweden,24,1997-05-04,174,67,1997,5,4,2
181,Zhai Qingwei,LB,77,China PR,24,1996-09-24,163,57,1996,9,24,3
182,ClÃ¡udia Neto,"CAM, RM, ST",77,Portugal,33,1988-04-18,164,55,1988,4,18,2
183,Zhang Rui,"CM, CAM, CDM",76,China PR,32,1989-01-17,172,62,1989,1,17,1
184,Gu Yasha,LM,76,China PR,30,1990-11-28,165,60,1990,11,28,4
185,V. Asseyi,"RM, ST, CAM",76,France,27,1993-11-20,163,59,1993,11,20,4
186,K. Dali,"RM, CM",76,France,29,1991-07-31,165,62,1991,7,31,3
187,A. Chapman,"LB, RB",76,Canada,32,1989-01-25,160,57,1989,1,25,1
188,Leila Ouahabi,LB,76,Spain,28,1993-03-22,172,61,1993,3,22,1
190,S. Zadorsky,CB,76,Canada,28,1992-10-24,172,67,1992,10,24,4
191,A. Tounkara,CB,76,France,26,1995-03-16,174,60,1995,3,16,1
192,T. Knaak,"CAM, ST, LM",76,Germany,30,1991-01-24,168,53,1991,1,24,1
197,K. SÃ¦vik,"RM, LM",76,Norway,25,1996-03-24,173,62,1996,3,24,1
200,J. Falk,GK,76,Sweden,28,1993-04-26,171,64,1993,4,26,2
201,A. AnvegÃ¥rd,ST,76,Sweden,24,1997-05-10,167,65,1997,5,10,2
202,Li Mengwen,"RB, CM",76,China PR,26,1995-03-28,165,56,1995,3,28,1
203,J. Brand,"LM, ST, CM",76,Germany,18,2002-10-16,177,62,2002,10,16,4
204,J. Biesmans,"CB, CDM",76,Belgium,27,1994-05-04,173,68,1994,5,4,2
205,Carole Costa,CB,76,Portugal,31,1990-05-03,173,60,1990,5,3,2
206,Ana Borges,"RB, RM, RW",76,Portugal,31,1990-06-15,159,54,1990,6,15,2
207,Yang Li,ST,75,China PR,30,1991-01-31,167,58,1991,1,31,1
208,Han Peng,"RB, LB, LM",75,China PR,31,1989-12-20,165,60,1989,12,20,4
209,Quinn,"CB, CDM, CM",75,Canada,25,1995-08-11,175,65,1995,8,11,3
210,Ivana AndrÃ©s,CB,75,Spain,26,1994-07-13,164,60,1994,7,13,3
211,M. Arnold,GK,75,Australia,27,1994-02-25,179,76,1994,2,25,1
212,E. Alvarado,GK,75,Mexico,23,1998-06-09,180,72,1998,6,9,2
213,Pang Fengyue,"RM, CM",75,China PR,32,1989-01-19,165,59,1989,1,19,1
214,C. Logarzo,"CAM, LM, RM",75,Australia,26,1994-12-22,165,51,1994,12,22,4
215,Andrea Pereira,CB,75,Spain,27,1993-09-19,164,62,1993,9,19,3
216,Esther GonzÃ¡lez,"ST, CAM",75,Spain,28,1992-12-08,164,54,1992,12,8,4
217,L. Utland,"ST, RM",75,Norway,28,1992-09-19,171,63,1992,9,19,3
218,M. Moore,"CB, RB",75,New Zealand,25,1996-06-04,172,67,1996,6,4,2
219,A. Longo,"CM, CAM, CDM",75,New Zealand,30,1991-07-01,157,56,1991,7,1,3
221,N. Prince,"RM, ST",75,Canada,26,1995-02-19,163,65,1995,2,19,1
222,F. Maanum,"CM, CAM, RM",75,Norway,21,1999-07-16,173,53,1999,7,16,3
224,S. Durand,GK,75,France,26,1994-11-20,170,66,1994,11,20,4
225,LucÃ­a GarcÃ­a,"ST, RM, LM",75,Spain,22,1998-07-14,163,56,1998,7,14,3
232,Nahikari,ST,75,Spain,24,1997-03-10,160,52,1997,3,10,1
233,M. Janogy,"ST, LW",75,Sweden,25,1995-11-12,164,57,1995,11,12,4
234,V. Gilles,CB,75,Canada,24,1996-11-03,170,56,1996,11,3,4
235,Ona Batlle,"LB, RB, CB",75,Spain,22,1999-06-10,165,53,1999,6,10,2
238,Yao Lingwei,"CM, CDM, CB",75,China PR,25,1995-12-05,165,63,1995,12,5,4
239,L. Deloose,RB,75,Belgium,28,1993-06-18,164,56,1993,6,18,2
240,D. Philtjens,LB,75,Belgium,32,1989-02-26,150,52,1989,2,26,1
241,Dolores Silva,"CDM, CM",75,Portugal,29,1991-08-07,167,54,1991,8,7,3
242,SÃ­lvia Rebelo,CB,75,Portugal,32,1989-05-20,173,66,1989,5,20,2
244,F. Angeldahl,CM,75,Sweden,23,1997-07-14,170,56,1997,7,14,3
245,L. Hurtig,"LW, LM",74,Sweden,25,1995-09-05,180,69,1995,9,5,3
246,K. Simon,"ST, CAM",74,Australia,30,1991-06-25,164,63,1991,6,25,2
247,A. Leon,"LW, RW",74,Canada,28,1992-10-02,160,59,1992,10,2,4
248,C. Bilbault,"CDM, CM",74,France,31,1990-06-05,168,65,1990,6,5,2
249,M. Thorisdottir,"CB, CDM",74,Norway,28,1993-06-05,171,68,1993,6,5,2
260,P. Peyraud-Magnin,GK,74,France,29,1992-03-17,173,57,1992,3,17,1
261,Alba Redondo,"ST, RW",74,Spain,24,1996-08-27,169,63,1996,8,27,3
263,Marta Cardona,"RM, RW",74,Spain,26,1995-05-26,161,54,1995,5,26,2
264,S. Kleinherne,CB,74,Germany,21,2000-04-12,169,54,2000,4,12,2
265,Misa,GK,74,Spain,21,1999-07-22,173,66,1999,7,22,3
266,A. Cervantes,ST,74,Mexico,27,1994-01-24,165,60,1994,1,24,1
267,K. Missipo,"CM, CDM",74,Belgium,23,1998-02-03,159,57,1998,2,3,1
268,JÃ©ssica Silva,ST,74,Portugal,26,1994-12-11,170,54,1994,12,11,4
269,S. Jensen,ST,73,Norway,25,1996-02-15,173,62,1996,2,15,1
270,M. SÃ¡nchez,LM,73,Mexico,25,1996-02-20,167,56,1996,2,20,1
271,R. White,"ST, RM, CAM",73,New Zealand,28,1993-06-06,165,63,1993,6,6,2
273,V. Esson,GK,73,New Zealand,30,1991-03-06,169,65,1991,3,6,1
274,K. Leine,"LB, CB",73,Norway,24,1996-08-06,171,57,1996,8,6,3
275,O. Chance,"RM, LM",73,New Zealand,27,1993-10-05,157,53,1993,10,5,4
280,E. Laurent,"RW, RM",73,France,22,1998-11-04,161,50,1998,11,4,4
282,D. Espinosa,"RM, CAM, ST",73,Mexico,21,1999-07-13,168,62,1999,7,13,3
283,J. Huitema,"ST, RW, RM",73,Canada,20,2001-05-08,181,56,2001,5,8,2
284,Yao Wei,"CM, RM",73,China PR,23,1997-09-01,167,60,1997,9,1,3
285,Laia Aleixandri,"CB, RB, CDM",73,Spain,20,2000-08-25,170,55,2000,8,25,3
286,P. Morroni,LB,73,France,23,1997-10-15,157,53,1997,10,15,4
287,J. LÃ³pez,LB,73,Mexico,22,1999-01-30,170,57,1999,1,30,1
288,Ã. Viens,ST,73,Canada,24,1997-02-06,173,64,1997,2,6,1
289,J. Vanhaevermaet,"CDM, CM",73,Belgium,29,1992-04-29,185,72,1992,4,29,2
290,L. De Neve,CB,73,Belgium,26,1994-10-09,168,56,1994,10,9,4
291,M. Minnaert,"CM, CAM",73,Belgium,22,1999-05-05,184,73,1999,5,5,2
292,L. Onzia,"CM, CDM, CAM",73,Belgium,32,1989-05-30,170,57,1989,5,30,2
293,PatrÃ­cia Morais,GK,73,Portugal,29,1992-06-17,178,63,1992,6,17,2
294,Carolina Mendes,ST,73,Portugal,33,1987-11-27,173,59,1987,11,27,4
296,H. Bennison,CAM,73,Sweden,18,2002-10-16,160,51,2002,10,16,4
297,Li Jiayue,"CB, RB, LB",72,China PR,31,1990-06-08,170,58,1990,6,8,2
298,E. Thorsnes,"ST, LB",72,Norway,32,1988-08-14,174,70,1988,8,14,3
299,C. Jaramillo,"LM, CM",72,Mexico,27,1994-03-15,167,59,1994,3,15,1
300,Bi Xiaolin,GK,72,China PR,31,1989-09-18,176,62,1989,9,18,3
301,E. Gielnik,"RW, LW, ST",72,Australia,29,1992-05-13,183,68,1992,5,13,2
302,S. Hansen,"RB, LB",72,Norway,25,1995-08-12,171,65,1995,8,12,3
303,A. Green,"LB, LWB",72,New Zealand,30,1990-08-20,167,62,1990,8,20,3
304,H. Wilkinson,"ST, RM, LM",72,New Zealand,29,1992-05-28,178,70,1992,5,28,2
305,C. Bott,"LB, RB, RWB",72,New Zealand,26,1995-04-22,165,60,1995,4,22,2
306,L. Agnew,RB,72,Canada,26,1995-03-31,175,63,1995,3,31,1
307,D. Rose,"LM, RM",72,Canada,22,1999-03-03,162,62,1999,3,3,1
308,S. Woeller,CB,72,Canada,30,1990-12-31,172,64,1990,12,31,4
309,R. Bernal,"LB, CDM",72,Mexico,23,1997-08-31,170,62,1997,8,31,3
313,A. Eikeland,"RM, LM",72,Norway,25,1995-08-26,164,67,1995,8,26,3
314,J. Roddar,"CDM, CM",72,Sweden,29,1992-02-16,167,59,1992,2,16,1
315,A. GonzÃ¡lez,"ST, RW",72,Mexico,19,2002-01-31,169,51,2002,1,31,1
316,J. Odeurs,GK,72,Belgium,24,1997-05-30,174,70,1997,5,30,2
317,N. Evrard,GK,72,Belgium,26,1995-05-26,176,58,1995,5,26,2
318,D. Vanmechelen,"LW, LM",72,Belgium,21,1999-08-30,161,63,1999,8,30,3
319,C. Vande Velde,"CM, RM, LM",72,Belgium,24,1997-06-06,169,58,1997,6,6,2
320,Tatiana Pinto,CM,72,Portugal,27,1994-03-28,167,55,1994,3,28,1
321,Diana Silva,"ST, LW",72,Portugal,26,1995-06-04,161,54,1995,6,4,2
322,Andreia Norton,"CM, RM, LM",72,Portugal,24,1996-08-15,161,58,1996,8,15,3
323,FÃ¡tima Pinto,"CM, LM",72,Portugal,25,1996-01-16,169,59,1996,1,16,1
324,K. Cooney-Cross,CAM,72,Australia,19,2002-02-15,165,60,2002,2,15,1
326,Song Duan,"CM, CDM",71,China PR,25,1995-08-02,168,54,1995,8,2,3
327,N. Antonio,"CDM, CM",71,Mexico,25,1996-04-02,174,60,1996,4,2,2
328,B. Hassett,"CAM, LM, RM",71,New Zealand,30,1990-08-04,157,55,1990,8,4,3
329,T. Hansen,CB,71,Norway,23,1997-08-04,165,55,1997,8,4,3
330,K. Rood,"LW, ST, CAM",71,New Zealand,28,1992-09-02,164,62,1992,9,2,3
331,M. Kelly,"LM, LW",71,Canada,29,1992-02-19,164,70,1992,2,19,1
334,Luo Guiping,"RB, CB",71,China PR,28,1993-04-20,168,63,1993,4,20,2
335,Ã. De Almeida,"CB, RB",71,France,23,1998-01-11,174,61,1998,1,11,1
336,I. GonzÃ¡lez,GK,71,Mexico,26,1994-08-14,172,65,1994,8,14,3
337,Joana MarchÃ£o,LB,71,Portugal,24,1996-10-24,165,53,1996,10,24,4
338,Ana Capeta,"ST, LW",71,Portugal,23,1997-12-22,168,63,1997,12,22,4
339,InÃªs Pereira,GK,71,Portugal,22,1999-05-26,168,64,1999,5,26,2
340,J. Montoya,"RM, RW",71,Mexico,20,2000-07-03,158,48,2000,7,3,3
341,J. Orejel,CB,70,Mexico,24,1996-11-14,182,73,1996,11,14,4
343,C. Kvamme,RB,70,Norway,25,1995-09-11,158,56,1995,9,11,3
344,E. Kullberg,CB,70,Sweden,29,1991-09-25,170,63,1991,9,25,3
345,S. Van Belle,"LB, RB",70,Belgium,21,1999-12-22,164,51,1999,12,22,4
346,A. Tysiak,CB,70,Belgium,21,2000-01-26,177,70,2000,1,26,1
347,C. Tison,CB,70,Belgium,23,1998-04-21,165,56,1998,4,21,2
348,Telma EncarnaÃ§Ã£o,ST,70,Portugal,19,2001-10-11,169,60,2001,10,11,4
349,Kika Nazareth,ST,70,Portugal,18,2002-11-17,170,52,2002,11,17,4
350,Rute Costa,GK,70,Portugal,27,1994-06-01,170,60,1994,6,1,2
351,A. Harrison,"CM, RM, RB",69,Australia,25,1996-04-21,171,58,1996,4,21,2
352,C. Ferral,"CB, CDM",69,Mexico,28,1993-02-16,165,57,1993,2,16,1
353,B. Campos,"CDM, CM",69,Mexico,27,1994-02-03,160,60,1994,2,3,1
354,T. Ãsland,"CM, CAM",69,Norway,25,1995-08-26,160,60,1995,8,26,3
355,M. Fowler,"ST, CAM",69,Australia,18,2003-02-14,172,60,2003,2,14,1
356,D. Evangelista,"ST, RW",69,Mexico,26,1994-11-05,156,53,1994,11,5,4
357,M. Cadena,CB,69,Mexico,26,1995-02-13,168,62,1995,2,13,1
358,E. Cascarino,"CB, LB",69,France,24,1997-02-05,161,52,1997,2,5,1
359,L. Wajnblum,ST,69,Belgium,25,1996-01-22,161,59,1996,1,22,1
360,Andreia Jacinto,"CM, RM",69,Portugal,19,2002-06-08,169,59,2002,6,8,2
361,Andreia Faria,CM,69,Portugal,21,2000-04-19,164,55,2000,4,19,2
362,AlÃ­cia Correia,LB,69,Portugal,18,2003-04-29,159,53,2003,4,29,2
363,K. RodrÃ­guez,CB,69,Mexico,22,1999-03-02,166,59,1999,3,2,1
365,A. RodrÃ­guez,"RW, RB",69,Mexico,24,1996-12-31,157,57,1996,12,31,4
366,A. Phillips,"ST, CF",68,New Zealand,30,1991-05-06,158,55,1991,5,6,2
367,P. Satchell,"LW, LM",68,New Zealand,23,1998-04-13,163,50,1998,4,13,2
368,J. Hellstrom,"RM, LM",68,Canada,26,1995-04-02,168,64,1995,4,2,2
369,K. Roestbakken,"LB, RB",68,Australia,20,2001-01-17,165,61,2001,1,17,1
370,C. Bunge,CB,68,New Zealand,21,1999-09-21,173,63,1999,9,21,3
371,G. Pettersen,GK,68,Norway,29,1991-08-22,175,67,1991,8,22,3
372,M. Villeda,GK,68,Mexico,19,2001-10-25,165,55,2001,10,25,4
373,I. Iliano,LB,68,Belgium,24,1997-03-02,170,58,1997,3,2,1
374,D. Lemey,GK,68,Belgium,24,1996-10-07,170,58,1996,10,7,4
375,M. Coutereels,"CB, CDM",68,Belgium,35,1986-05-21,170,58,1986,5,21,2
376,Catarina Amado,"RB, RM, RW",68,Portugal,21,1999-07-21,165,55,1999,7,21,3
377,S. Morton,"LB, CB, LWB",67,New Zealand,22,1998-08-28,166,58,1998,8,28,3
378,A. Mikalsen,GK,67,Norway,25,1996-03-21,175,65,1996,3,21,1
379,N. Stratford,CB,67,New Zealand,32,1989-02-01,177,68,1989,2,1,1
380,J. Blakstad,"LM, LB",67,Norway,19,2001-08-27,175,60,2001,8,27,3
381,M. Delgadillo,ST,67,Mexico,25,1995-12-08,175,60,1995,12,8,4
382,S. Skilton,"RW, RWB, ST",66,New Zealand,26,1994-10-27,175,66,1994,10,27,4
383,T. Micah,GK,66,Australia,23,1997-10-20,176,78,1997,10,20,4
384,D. GarcÃ­a,RM,66,Mexico,21,1999-11-11,167,57,1999,11,11,4
385,M. van der Meer,"LB, LWB",66,New Zealand,19,2002-03-27,167,60,2002,3,27,1
386,H. Eurlings,"CF, ST",66,Belgium,18,2003-01-01,170,58,2003,1,1,1
387,Ana Dias,ST,66,Portugal,23,1997-10-02,171,60,1997,10,2,4
388,G. Rennie,"ST, RW",66,New Zealand,19,2001-07-07,168,64,2001,7,7,3
389,C. Nevin,LB,62,Australia,19,2002-02-12,168,65,2002,2,12,1
390,C. Grant,"RB, CB",60,Australia,19,2001-09-20,172,70,2001,9,20,3
