,Nombre,Nacimiento,year,month,day,trimestre
48,"Sánchez García, María Jesús Celinda",24/12/1945,1945,12,24,4
49,"Sánchez Garrido, Joaquín Manuel",24/12/1942,1942,12,24,4
50,"Sánchez i Llibre, Josep",26/05/1949,1949,5,26,2
51,"Sánchez Ramos, Aurelio",31/12/1944,1944,12,31,4
52,"Sánchez Sánchez, Alfonso",04/07/1940,1940,4,7,2
53,"Sanjuán de la Rocha, Carlos",10/01/1938,1938,10,1,4
54,"Sanz Palacio, Salvador",21/10/1947,1947,10,21,4
55,"Saura Laporta, Joan",24/04/1950,1950,4,24,2
56,"Seco Gordillo, Manuel",08/02/1961,1961,8,2,3
57,"Sedó i Marsal, Salvador",24/02/1936,1936,2,24,1
58,"Segura Clavell, José",04/07/1944,1944,4,7,2
59,"Seller Roca de Togores, María Enriqueta",02/03/1962,1962,2,3,1
60,"Serna Masiá, Juana",09/03/1945,1945,9,3,3
61,"Serra Serra, Narcís",30/05/1943,1943,5,30,2
62,"Sevilla Segura, Jordi",19/03/1956,1956,3,19,1
63,"Silva i Sánchez, Manuel José",30/12/1960,1960,12,30,4
64,"Simón de la Torre, Julián",23/08/1956,1956,8,23,3
65,"Solera Albero, Juan",16/03/1956,1956,3,16,1
66,"Soravilla Fernández, Roberto",26/03/1945,1945,3,26,1
67,"Soriano Benítez de Lugo, Alfonso",02/10/1936,1936,2,10,1
68,"Souvirón García, Federico",23/12/1954,1954,12,23,4
69,"Suárez González, Celestino",08/01/1955,1955,8,1,3
70,"Tocino Biscarolasaga, Isabel",09/03/1949,1949,9,3,3
71,"Torme Pardo, Ana",13/09/1964,1964,9,13,3
72,"Torrado Rey, Clemencia",13/11/1961,1961,11,13,4
73,"Torres Sahuquillo, Gerardo",03/11/1947,1947,3,11,1
74,"Tortosa Ruiz, José Manuel",06/12/1962,1962,6,12,2
75,"Trías i Vidal de Llobatera, Xavier",05/08/1946,1946,5,8,2
76,"Trillo-Figueroa Martínez-Conde, Federico",23/05/1952,1952,5,23,2
77,"Txueka Isasti, Iñaki",10/09/1953,1953,10,9,4
78,"Unzurrunzaga Campoy, Belén",02/11/1977,1977,2,11,1
79,"Urán González, Presentación",29/05/1956,1956,5,29,2
80,"Uría Etxebarría, Margarita",28/04/1953,1953,4,28,2
81,"Utrera Mora, Francisco",02/02/1954,1954,2,2,1
82,"Valcarce García, María Amparo",24/01/1956,1956,1,24,1
83,"Valentín Navarro, Matilde",17/10/1956,1956,10,17,4
84,"Varela Vázquez, María Jesús Arrate",04/03/1953,1953,4,3,2
85,"Vázquez Blanco, Ana Belén",27/01/1975,1975,1,27,1
86,"Vázquez Vázquez, Guillerme",08/05/1952,1952,8,5,3
87,"Velasco Sierra, Rafael",05/04/1973,1973,5,4,2
88,"Vera Pro, Juan Carlos",16/01/1955,1955,1,16,1
89,"Villalobos Talero, Celia",18/04/1949,1949,4,18,2
90,"Villalonga Campos, Fernando",15/01/1960,1960,1,15,1
91,"Varela Vázquez, María Jesús Arrate",04/03/1953,1953,4,3,2
92,"Villarrubia Mediavilla, Julio",21/05/1957,1957,5,21,2
93,"Yáñez-Barnuevo García, Luis",12/04/1943,1943,12,4,4
94,"Zambrano Vázquez, Francisco",23/10/1947,1947,10,23,4
95,"Zaragoza Juncá, María Rosa",25/06/1964,1964,6,25,2
96,"Barrero López, Jaime Javier",18/09/1949,1949,9,18,3
97,"Barrero Valverde, Juan Ignacio",29/06/1943,1943,6,29,2
98,"Barrios Curbelo, María Bernarda",25/09/1949,1949,9,25,3
99,"Becerril Bustamante, Soledad",16/08/1944,1944,8,16,3
100,"Bel i Queralt, Germà",15/03/1963,1963,3,15,1
101,"Belda Pérez-Pedrero, Enrique",11/06/1969,1969,11,6,4
102,"Benegas Haddad, José María",25/07/1948,1948,7,25,3
103,"Bermejo Fernández, José Luis",18/11/1947,1947,11,18,4
104,"Bermúdez de Castro Fernández, José Antonio",05/09/1959,1959,5,9,2
105,"Bertomeu Bertomeu, Juan",18/09/1954,1954,9,18,3
106,"Blancas Llamas, Juan",14/04/1945,1945,4,14,2
107,"Blanco García, Jaime",01/05/1944,1944,1,5,1
108,"Blanco López, José",06/02/1962,1962,6,2,2
109,"Blanco Terán, Rosa Delia",17/02/1952,1952,2,17,1
110,"Blázquez Sánchez, Feliciano",01/02/1935,1935,1,2,1
111,"Borrell Fontelles, Josep",24/04/1947,1947,4,24,2
112,"Bueno Fernández, Ricardo",24/04/1940,1940,4,24,2
113,"Bueso Zaera, Leocadio",01/01/1943,1943,1,1,1
114,"Burgo Tajadura, Jaime Ignacio del",31/07/1942,1942,7,31,3
115,"Burgos Gallego, Tomás",21/04/1962,1962,4,21,2
116,"Capdevila i Esteve, Joan",12/07/1965,1965,12,7,4
117,"Caldera Sánchez-Capitán, Jesús",31/10/1957,1957,10,31,4
118,"Calomarde Gramage, Joaquín",30/11/1956,1956,11,30,4
119,"Calpe Saera, José Ramón",07/05/1954,1954,7,5,3
120,"Camacho Vázquez, María Teresa del Carmen",27/11/1958,1958,11,27,4
121,"Cámara Rodríguez, Rafael",15/05/1965,1965,5,15,2
122,"Camarero Benítez, Susana",25/04/1970,1970,4,25,2
123,"Campo Casasús, Carmen del",27/06/1947,1947,6,27,2
124,"Campoy Suárez, Miguel Antonio",05/09/1964,1964,5,9,2
125,"Camps Devesa, Gerardo",30/06/1963,1963,6,30,2
126,"Camps Ortiz, Francisco Enrique",28/08/1962,1962,8,28,3
127,"Campuzano i Canadés, Carles",12/07/1964,1964,12,7,4
128,"Carabel Pedreira, María Reyes",09/03/1967,1967,9,3,3
129,"Caracuel del Olmo, Mª Amelia",10/07/1954,1954,10,7,4
130,"Carrera González, Emilio José",03/08/1951,1951,3,8,1
131,"Carriegas Robledo, Rafael",21/09/1964,1964,9,21,3
132,"Casado Miranda, Martín Ángel",02/08/1954,1954,2,8,1
133,"Castellano Rodríguez, María del Carmen",20/06/1967,1967,6,20,2
134,"Castillo Jaén, Eugenio Enrique",22/07/1954,1954,7,22,3
135,"Castro Fonseca, María Luisa",18/08/1946,1946,8,18,3
136,"Castro Masaveu, Alicia",27/08/1952,1952,8,27,3
137,"Cava de Llano y Carrió, María Luisa",22/05/1948,1948,5,22,2
138,"Centella Gómez, José Luis",31/07/1958,1958,7,31,3
139,"Chacón Piqueras, Carme",13/03/1971,1971,3,13,1
140,"Chapela Seijo, José Manuel",15/10/1958,1958,10,15,4
141,"Císcar Casabán, Ciprià",22/12/1946,1946,12,22,4
142,"Cisneros Laborda, Gabriel",14/08/1940,1940,8,14,3
143,"Clotas Cierco, Salvador",04/06/1938,1938,4,6,2
144,"Companys Sanfeliu, Ramón",07/09/1949,1949,7,9,3
145,"Compte Llusa, María Dolores",10/01/1964,1964,10,1,4
146,"Conde Gutiérrez del Alamo, Rosa",07/09/1947,1947,7,9,3
147,"Contreras Linares, Eduardo Javier",22/07/1953,1953,7,22,3
148,"Contreras Pérez, Francisco",27/08/1950,1950,8,27,3
149,"Corres Vaquero, Paloma",05/04/1971,1971,5,4,2
150,"Clotas Cierco, Salvador",04/06/1938,1938,4,6,2
151,"Cortés Martín, Miguel Ángel",14/07/1958,1958,7,14,3
152,"Costa Campi, Mª Teresa",31/07/1951,1951,7,31,3
153,"Costa Climent, Juan",10/04/1965,1965,10,4,4
154,"Costas Manzanares, María Reyes",19/01/1961,1961,1,19,1
155,"Cruz Valentín, Raquel de la",19/02/1970,1970,2,19,1
156,"Cuadrado Bausela, Jesús",24/12/1952,1952,12,24,4
157,"Cuesta Martínez, Álvaro",28/06/1955,1955,6,28,2
158,"Cuevas Delgado, Antonio",07/05/1949,1949,7,5,3
159,"Cunillera i Mestres, Teresa",17/02/1951,1951,2,17,1
160,"Dancausa Treviño, María Concepción",26/02/1952,1952,2,26,1
161,"Delgado Arce, Celso Luis",23/02/1958,1958,2,23,1
162,"Díaz Díaz, Manuel Ceferino",01/04/1947,1947,1,4,1
163,"Díaz-Cano del Rey, Máximo Ramón",23/03/1960,1960,3,23,1
164,"Díez de Baldeón García, Clementina",15/03/1953,1953,3,15,1
165,"Díez de la Lastra Barbadillo, María Isabel",23/02/1944,1944,2,23,1
166,"Durán Sánchez, Inmaculada",05/03/1969,1969,5,3,2
167,"Edo Gil, Mario",10/09/1958,1958,10,9,4
168,"Eguiagaray Ucelay, Juan Manuel",25/12/1945,1945,12,25,4
169,"Encina Ortega, Salvador de la",08/04/1958,1958,8,4,3
170,"Erkoreka Gervasio, Josu Iñaki",03/07/1960,1960,3,7,1
171,"Escudero Zamora, Manuel María",29/03/1946,1946,3,29,1
172,"Escuredo Franco, Ángel",28/04/1947,1947,4,28,2
173,"Espinosa López, Rosalía de los Ángeles",10/10/1969,1969,10,10,4
174,"Estarás Ferragut, Mª Rosa",21/10/1965,1965,10,21,4
175,"Esteve Ferrer, Héctor",28/01/1966,1966,1,28,1
176,"Estrella Pedrola, Rafael",20/05/1950,1950,5,20,2
177,"Expósito Molina, Mª Luisa",22/05/1951,1951,5,22,2
178,"Faraldo Botana, María Fernanda",18/10/1966,1966,10,18,4
179,"Fariñas Sobrino, Hipólito",28/05/1960,1960,5,28,2
180,"Febrer Santandreu, Antonia",24/01/1973,1973,1,24,1
181,"Fernández Aguilar, Adolfo",26/09/1935,1935,9,26,3
182,"Fernández Chacón, José",03/02/1954,1954,3,2,1
183,"Fernández de la Vega Sanz, María Teresa",15/06/1949,1949,6,15,2
184,"Fernández de Mesa Díaz del Río, Arsenio",20/07/1955,1955,7,20,3
185,"Fernández de Trocóniz Marcos, Fernando",21/09/1952,1952,9,21,3
186,"Fernández Díaz, Jorge",06/04/1950,1950,6,4,2
187,"Fernández González, María Mercedes",04/08/1960,1960,4,8,2
188,"Fernández Marugán, Francisco Miguel",06/10/1946,1946,6,10,2
189,"Fernández Rozada, Isidro",26/12/1943,1943,12,26,4
190,"Fernández-Capel Baños, Blanca",29/01/1946,1946,1,29,1
191,"Fernández-Miranda y Lozana, Enrique",12/09/1949,1949,12,9,4
192,"Ferrando Sendra, María Amparo",25/10/1965,1965,10,25,4
193,"Fidalgo Francisco, Alberto",22/07/1958,1958,7,22,3
194,"Folgado Blanco, José",03/04/1944,1944,3,4,1
195,"Frutos Gras, Francisco",25/01/1939,1939,1,25,1
196,"Gallego López, José Antonio",11/11/1942,1942,11,11,4
197,"Gallizo Llamas, Mercedes",02/12/1952,1952,2,12,1
198,"Gámir Casares, Luis",08/05/1942,1942,8,5,3
199,"García Arias, Ludivina",13/12/1945,1945,12,13,4
200,"García Arias, María Trinidad",16/12/1961,1961,12,16,4
201,"García Breva, Francisco Javier",05/07/1952,1952,5,7,2
202,"García Gómez, Javier Ignacio",15/11/1959,1959,11,15,4
203,"García Hernando, José",30/10/1955,1955,10,30,4
204,"García Manzanares, Blanca",25/06/1946,1946,6,25,2
205,"García Pérez, Iratxe",07/10/1974,1974,7,10,3
206,"García-Alcañiz Calvo, Elena",29/11/1938,1938,11,29,4
207,"García-Hierro Caraballo, Dolores",16/05/1959,1959,5,16,2
208,"Gil Lázaro, Ignacio",23/09/1957,1957,9,23,3
209,"Gil López, María Yolanda",01/01/1964,1964,1,1,1
210,"Gómez Darmendrail, Javier",07/03/1949,1949,7,3,3
211,"Gómez-Alba Ruiz, Sergio",25/07/1943,1943,7,25,3
212,"González de Txabarri Miranda, Joxe Joan",30/11/1956,1956,11,30,4
213,"González del Valle García de la Peña, María José",03/12/1952,1952,3,12,1
214,"González Márquez, Felipe",05/03/1942,1942,5,3,2
215,"González Pérez, Francisco Antonio",31/08/1960,1960,8,31,3
216,"González Serna, Justo",24/04/1957,1957,4,24,2
217,"González Vigil, Luis",11/02/1954,1954,11,2,4
218,"Gorostiaga Saiz, María Dolores",24/02/1957,1957,2,24,1
219,"Gorri Gil, Eva María",07/05/1968,1968,7,5,3
220,"Gortázar Echeverría, Guillermo",20/07/1951,1951,7,20,3
221,"Gracia Jiménez, María Pilar",18/05/1967,1967,5,18,2
222,"Grandes Pascual, Luis de",27/01/1945,1945,1,27,1
223,"Grau i Buldú, Pere",24/11/1944,1944,11,24,4
224,"Griñán Martínez, José Antonio",07/06/1946,1946,7,6,3
225,"Guardans i Cambó, Ignasi",18/05/1964,1964,5,18,2
226,"Guarinos López, Ana Cristina",03/06/1969,1969,3,6,1
227,"Guerra Galván, Ana María",09/09/1946,1946,9,9,3
228,"Guerra González, Alfonso",31/05/1940,1940,5,31,2
229,"Guerra Zunzunegui, Juan Carlos",01/02/1935,1935,1,2,1
230,"Gutiérrez Molina, Antonio",12/01/1950,1950,12,1,4
231,"Heredia Díaz, Miguel Ángel",21/08/1966,1966,8,21,3
232,"Hernández Cerviño, Guillermo",03/09/1947,1947,3,9,1
233,"Hernández Rodríguez, Felipe",14/05/1946,1946,5,14,2
234,"Hernando Fraile, Rafael Antonio",13/11/1961,1961,11,13,4
235,"Hernansanz Ruiz, María de Gracia",20/03/1948,1948,3,20,1
236,"Herrera Antonaya, José Francisco",12/10/1969,1969,12,10,4
237,"Herrera Martínez de Campos, Íñigo",12/08/1950,1950,12,8,4
238,"Iglesias García, Francisco Javier",26/04/1969,1969,4,26,2
239,"Isasi Gómez, Neftalí",07/11/1945,1945,7,11,3
240,"Izquierdo Juárez, Pablo Marcial",20/01/1958,1958,1,20,1
241,"Jané i Guasch, Jordi",26/11/1963,1963,11,26,4
242,"Jauregi Bereziartua, Jon",01/11/1964,1964,1,11,1
243,"Jáuregui Atondo, Ramón",01/09/1948,1948,1,9,1
244,"Jiménez Suárez, José",29/05/1946,1946,5,29,2
245,"Juan i Casadevall, Jordi de",23/04/1967,1967,4,23,2
246,"Juan Sanz, José Luis",27/06/1939,1939,6,27,2
247,"Juaneda Zaragoza, María Rosario",09/04/1952,1952,9,4,3
248,"Julios Reyes, Mª del Mar",28/09/1958,1958,9,28,3
249,"Labordeta Subías, José Antonio",10/03/1935,1935,10,3,4
250,"Landaluce Calleja, José Ignacio",03/02/1959,1959,3,2,1
251,"Lanzuela Marina, Santiago",27/09/1948,1948,9,27,3
252,"Jáuregui Atondo, Ramón",01/09/1948,1948,1,9,1
253,"Lara Carbó, María Teresa de",13/12/1944,1944,12,13,4
254,"Lasagabaster Olazábal, Begoña",22/09/1962,1962,9,22,3
255,"Leguina Herrán, Joaquín",05/05/1941,1941,5,5,2
256,"Lissavetzky Díez, Jaime",27/09/1951,1951,9,27,3
257,"Llamazares Trigo, Gaspar",28/11/1957,1957,11,28,4
258,"Llorens Torres, José Ignacio",16/05/1943,1943,5,16,2
259,"López Aguilar, Juan Fernando",10/06/1961,1961,10,6,4
260,"López de Lerma i López, Josep",30/11/1950,1950,11,30,4
261,"López Garrido, Diego",08/09/1947,1947,8,9,3
262,"López González, María José",16/01/1960,1960,1,16,1
263,"López i Chamosa, Isabel",18/10/1953,1953,10,18,4
264,"López Iglesias, Germán Augusto",13/08/1950,1950,8,13,3
265,"López-Amor García, Fernando",06/05/1952,1952,6,5,2
266,"López-Medel Báscones, Jesús",15/08/1959,1959,8,15,3
267,"Luis Rodríguez, Teófilo de",20/06/1952,1952,6,20,2
268,"Luque Aguilar, Florencio",08/08/1957,1957,8,8,3
269,"Madero Jarabo, José",11/03/1947,1947,11,3,4
270,"Maldonado i Gili, Josep",05/11/1952,1952,5,11,2
271,"Mancha Cadenas, Jesús Andrés",30/11/1941,1941,11,30,4
272,"Mantilla Rodríguez, Carlos",10/07/1944,1944,10,7,4
273,"Marcet i Morera, Joan",22/04/1950,1950,4,22,2
274,"Mardones Sevilla, Luis",16/02/1938,1938,2,16,1
275,"Marín González, Manuel",21/10/1949,1949,10,21,4
276,"Marín Izquierdo, José Ignacio",09/03/1953,1953,9,3,3
277,"Mariscal de Gante Mirón, Margarita",10/01/1954,1954,10,1,4
278,"Marón Beltrán, Carmen",29/11/1944,1944,11,29,4
279,"Marquínez Marquínez, Luis",05/01/1945,1945,5,1,2
280,"Marsal Muntala, Jordi",08/05/1951,1951,8,5,3
281,"Martí i Galbis, Jordi",29/04/1961,1961,4,29,2
282,"Martín Marín, Pedro Antonio",04/07/1949,1949,4,7,2
283,"Martín Soledad, Miguel Ángel",13/09/1954,1954,9,13,3
284,"Martín Vigil, Francesca",02/04/1947,1947,2,4,1
285,"Martín Vivas, Gloria",12/06/1952,1952,12,6,4
286,"Martínez Casañ, Guillermo",04/12/1955,1955,4,12,2
287,"Martínez Cervera, Inmaculada",05/10/1971,1971,5,10,2
288,"Martínez Fraile, Raimon",14/04/1947,1947,4,14,2
289,"Martínez Laseca, José María",28/01/1955,1955,1,28,1
290,"Martínez Maillo, Fernando",28/09/1969,1969,9,28,3
291,"Martínez Noval, Luis",03/07/1948,1948,3,7,1
292,"Martínez Sanjuán, Ángel",08/04/1951,1951,8,4,3
293,"Martínez-Pujalte López, Vicente",11/01/1956,1956,11,1,4
294,"Martorell Pallás, Mª del Carmen",28/03/1942,1942,3,28,1
295,"Marzal Martínez, Amparo Rita",27/12/1952,1952,12,27,4
296,"Matador de Matos, Carmen",27/02/1969,1969,2,27,1
297,"Matarí Sáez, Juan José",24/12/1959,1959,12,24,4
298,"Mateos Yuste, Rafael",22/06/1947,1947,6,22,2
299,"Mato Adrover, Ana",24/09/1959,1959,9,24,3
300,"Mato Adrover, Gabriel",29/04/1961,1961,4,29,2
301,"Mauricio Rodríguez, José Carlos",04/11/1941,1941,4,11,2
302,"Mayor Oreja, Jaime",12/07/1951,1951,12,7,4
303,"Mayoral Cortés, Victorino",15/09/1940,1940,9,15,3
304,"Mendizábal Gorostiaga, Arantza",22/02/1950,1950,2,22,1
305,"Merino Delgado, Jesús",06/02/1954,1954,6,2,2
306,"Merino López, Rafael",08/01/1959,1959,8,1,3
307,"Merino Santamaría, Antonio",04/05/1940,1940,4,5,2
308,"Mauricio Rodríguez, José Carlos",04/11/1941,1941,4,11,2
309,"Mingo Zapatero, Mario",30/11/1947,1947,11,30,4
310,"Miquel Serdá, Mònica",18/11/1962,1962,11,18,4
311,"Miralles i Guasch, María del Carme",14/05/1961,1961,5,14,2
312,"Moneo Díez, María Sandra",14/07/1969,1969,7,14,3
313,"Montelongo González, Águeda",05/02/1970,1970,5,2,2
314,"Montoro Romero, Cristóbal Ricardo",28/07/1950,1950,7,28,3
315,"Montseny Masip, María Reyes",14/12/1948,1948,12,14,4
316,"Monzón Cabrera, María Soledad",24/07/1967,1967,7,24,3
317,"Moragues Gomila, Alberto",26/06/1953,1953,6,26,2
318,"Morano Masa, Juan",05/12/1941,1941,5,12,2
319,"Moreno Bonilla, Juan Manuel",01/05/1970,1970,1,5,1
320,"Moreno Bustos, Ramón",26/05/1966,1966,5,26,2
321,"Moreno Sirodey, Nazaria",02/08/1952,1952,2,8,1
322,"Múgica Herzog, Enrique",20/02/1932,1932,2,20,1
323,"Morlán Gracia, Víctor",09/05/1947,1947,9,5,3
324,"Muñoz Gallego, Juan Antonio",08/01/1945,1945,8,1,3
325,"Muñoz Santamaría, Lourdes",15/12/1969,1969,12,15,4
326,"Muñoz Uriol, Ángeles",20/01/1960,1960,1,20,1
327,"Murcia Barceló, Francisco Vicente",27/10/1949,1949,10,27,4
328,"Nasarre Goicoechea, Eugenio",02/03/1946,1946,2,3,1
329,"Navarrete Merino, Carlos",04/11/1938,1938,4,11,2
330,"Navarro Garzón, Micaela",02/09/1956,1956,2,9,1
331,"Nestares García-Trevijano, María del Carmen",15/06/1945,1945,6,15,2
332,"Nieto González, Jerónimo",30/09/1948,1948,9,30,3
333,"Núñez Castain, José",11/12/1950,1950,11,12,4
334,"Núñez León, Carlos",08/02/1975,1975,8,2,3
335,"Núñez Pérez, Manuel",28/10/1933,1933,10,28,4
336,"Oliart i Pons, Joan",06/04/1932,1932,6,4,2
337,"Ollero Tassara, Andrés",15/05/1944,1944,5,15,2
338,"Olmedo Checa, Mª del Carmen",12/08/1949,1949,12,8,4
339,"Oltra Torres, María Asunción",14/08/1963,1963,8,14,3
340,"Organero Serrano, Miguel",02/03/1942,1942,2,3,1
341,"Ortiz González, Luis",03/07/1932,1932,3,7,1
342,"Ortiz Pérez, Juan José",30/05/1945,1945,5,30,2
343,"Otxoa de Eribe Elorza, Juan José",17/07/1942,1942,7,17,3
344,"Padilla Carballada, Julio",30/01/1950,1950,1,30,1
345,"Padrol i Munté, Heribert",20/09/1964,1964,9,20,3
346,"Pajín Iraola, Leire",16/09/1976,1976,9,16,3
347,"Palma i Muñoz, Montserrat",24/07/1959,1959,7,24,3
348,"Pastor Julián, Ana María",11/11/1957,1957,11,11,4
349,"Pedret i Grenzner, Jordi",29/10/1950,1950,10,29,4
350,"Perales Pizarro, Alfonso",19/07/1954,1954,7,19,3
351,"Perea Cortijo, Jesús Javier",14/04/1976,1976,4,14,2
352,"Pérez Brito, Raquel Lucía",13/12/1970,1970,12,13,4
353,"Pérez Casado, Ricard",27/10/1945,1945,10,27,4
354,"Pérez Corgos, Jesús Manuel",18/10/1958,1958,10,18,4
355,"Pérez Domínguez, María Soledad",15/10/1958,1958,10,15,4
356,"Pérez Lapazarán, José Cruz",24/12/1952,1952,12,24,4
357,"Pérez Laserna, Pío",28/06/1955,1955,6,28,2
358,"Pérez Rubalcaba, Alfredo",07/05/1949,1949,7,5,3
359,"Pérez Tabares, Ángel Andrónico",17/02/1951,1951,2,17,1
360,"Pérez-Hickman Silván, Mariano",26/02/1952,1952,2,26,1
361,"Peris Cervera, Rosa María",23/02/1958,1958,2,23,1
362,"Pigem i Palmés, Mª Mercè",01/04/1947,1947,1,4,1
363,"Pin Arboledas, Margarita",23/03/1960,1960,3,23,1
364,"Pintado Barbanoj, Ángel",15/03/1953,1953,3,15,1
365,"Piqué i Camps, Josep",23/02/1944,1944,2,23,1
366,"Pisonero Ruiz, Mª Elena",05/03/1969,1969,5,3,2
367,"Pla Durá, Joan Ignasi",10/09/1958,1958,10,9,4
368,"Pleguezuelos Aguilar, Francisca",25/12/1945,1945,12,25,4
369,"Pliego Cubero, José",08/04/1958,1958,8,4,3
370,"Pol Cabrer, Francisca",03/07/1960,1960,3,7,1
371,"Posada Moreno, Jesús",29/03/1946,1946,3,29,1
372,"Pozuelo Meño, María Isabel",28/04/1947,1947,4,28,2
373,"Prim Tomás, Miguel Vicente",10/10/1969,1969,10,10,4
374,"Puche Rodríguez-Acosta, Gabino",21/10/1965,1965,10,21,4
375,"Puig i Olivé, Lluís María de",28/01/1966,1966,1,28,1
376,"Puigcercós i Boixassa, Joan",02/12/1966,1966,2,12,1
377,"Quintana Viar, José",13/04/1953,1953,4,13,2
378,"Quintanilla Barba, María del Carmen",11/05/1954,1954,11,5,4
379,"Quintilla Salamero, Ramón Miguel",17/02/1954,1954,2,17,1
380,"Quirós Pulgar, Sebastián",18/05/1962,1962,5,18,2
381,"Rajoy Brey, Mariano",27/03/1955,1955,3,27,1
382,"Rato Figaredo, Rodrigo de",18/03/1949,1949,3,18,1
383,"Rego Cobo, Benito Jesús",29/10/1932,1932,10,29,4
384,"Quirós Pulgar, Sebastián",18/05/1962,1962,5,18,2
385,"Rejón Gieb, Luis Carlos",21/10/1951,1951,10,21,4
386,"Revuelta Méndez, Carlos",02/04/1960,1960,2,4,1
387,"Reyes Miranda, Ofelia Mª del Cristo",14/09/1952,1952,9,14,3
388,"Ricomá de Castellarnau, Francesc",27/01/1960,1960,1,27,1
389,"Riera i Ben, María Zoila",20/01/1954,1954,1,20,1
390,"Riera i Reñé, Immaculada",31/10/1960,1960,10,31,4
391,"Riera Madurell, María Teresa",13/10/1950,1950,10,13,4
392,"Reguera Díaz, Cándido",28/01/1958,1958,1,28,1
393,"Ripoll Gálvez, Damián",27/04/1972,1972,4,27,2
394,"Rivas Fontán, José",31/08/1941,1941,8,31,3
395,"Rivero Baute, Paulino",11/02/1952,1952,11,2,4
396,"Robles Fraga, José María",10/04/1956,1956,10,4,4
397,"Robles Orozco, Gonzalo",20/04/1959,1959,4,20,2
398,"Rodríguez Bolaños, Tomás",01/01/1944,1944,1,1,1
399,"Rodríguez Callao, Berta",17/10/1959,1959,10,17,4
400,"Rodríguez Díaz, Inés María",13/03/1956,1956,3,13,1
401,"Rodríguez López, Mª Dolores",13/12/1953,1953,12,13,4
402,"Rodríguez Sánchez, Francisco",22/11/1945,1945,11,22,4
403,"Rodríguez Zapatero, José Luis",04/08/1960,1960,4,8,2
404,"Rodríguez-Salmones Cabeza, Beatriz",20/05/1944,1944,5,20,2
