,short_name,player_positions,overall,nationality_name,age,dob,league_name,height_cm,weight_kg,year,month,day,trimestre
301,B. AndrÃ©,"CDM, CM",81,France,30,1990-08-03,French Ligue 1,180,74,1990,8,3,3
323,K. Zouma,CB,81,France,26,1994-10-27,English Premier League,190,95,1994,10,27,4
337,A. Rabiot,"CM, CDM",81,France,26,1995-04-03,Italian Serie A,192,80,1995,4,3,2
342,A. Martial,"ST, LM",81,France,25,1995-12-05,English Premier League,184,76,1995,12,5,4
361,N. Mukiele,"RWB, CB, RM",81,France,23,1997-11-01,German 1. Bundesliga,187,84,1997,11,1,4
373,C. Nkunku,"CAM, CM, CF",81,France,23,1997-11-14,German 1. Bundesliga,179,72,1997,11,14,4
377,H. Aouar,"CM, CAM",81,France,23,1998-06-30,French Ligue 1,175,70,1998,6,30,2
382,M. Diaby,"LW, RW",81,France,21,1999-07-07,German 1. Bundesliga,170,68,1999,7,7,3
398,D. Payet,"LW, CAM",80,France,34,1987-03-29,French Ligue 1,175,77,1987,3,29,1
410,F. Coquelin,"CM, CDM, RM",80,France,30,1991-05-13,Spain Primera Division,176,74,1991,5,13,2
435,F. Thauvin,"RW, RM",80,France,28,1993-01-26,Mexican Liga MX,179,70,1993,1,26,1
436,S. Umtiti,CB,80,France,27,1993-11-14,Spain Primera Division,182,75,1993,11,14,4
437,T. Savanier,"CM, CAM",80,France,29,1991-12-22,French Ligue 1,172,69,1991,12,22,4
445,G. Laborde,"ST, RM",80,France,27,1994-05-03,French Ligue 1,181,78,1994,5,3,2
458,C. Tolisso,"CM, CDM",80,France,26,1994-08-03,German 1. Bundesliga,181,81,1994,8,3,3
471,J. Bamba,LM,80,France,25,1996-03-26,French Ligue 1,175,70,1996,3,26,1
496,B. Kamara,"CDM, CB",80,France,21,1999-11-23,French Ligue 1,184,68,1999,11,23,4
511,F. RibÃ©ry,"CF, LW",79,France,38,1983-04-07,Italian Serie A,170,72,1983,4,7,2
512,B. Costil,GK,79,France,33,1987-07-03,French Ligue 1,187,82,1987,7,3,3
513,B. Gomis,ST,79,France,35,1985-08-06,Saudi Abdul L. Jameel League,186,86,1985,8,6,3
515,B. Matuidi,"CDM, CM",79,France,34,1987-04-09,USA Major League Soccer,180,75,1987,4,9,2
520,O. Giroud,ST,79,France,34,1986-09-30,Italian Serie A,193,91,1986,9,30,3
523,Y. M'Vila,"CDM, CM, CB",79,France,31,1990-06-29,Greek Super League,182,80,1990,6,29,2
554,B. Lecomte,GK,79,France,30,1991-04-26,Spain Primera Division,187,78,1991,4,26,2
569,B. Mendy,LB,79,France,26,1994-07-17,English Premier League,185,85,1994,7,17,3
572,A. Plea,"ST, LW",79,France,28,1993-03-10,German 1. Bundesliga,181,79,1993,3,10,1
577,A. DoucourÃ©,"CM, CDM",79,France,28,1993-01-01,English Premier League,184,76,1993,1,1,1
596,A. Saint-Maximin,"LM, ST",79,France,24,1997-03-12,English Premier League,173,67,1997,3,12,1
600,T. Bakayoko,"CDM, CM",79,France,26,1994-08-17,Italian Serie A,189,85,1994,8,17,3
610,R. Aguilar,RB,79,France,28,1993-04-26,French Ligue 1,172,71,1993,4,26,2
621,B. Pavard,"RB, CB",79,France,25,1996-03-28,German 1. Bundesliga,186,81,1996,3,28,1
622,M. Thuram,"LM, ST",79,France,23,1997-08-06,German 1. Bundesliga,192,88,1997,8,6,3
639,J. IkonÃ©,"RM, ST",79,France,23,1998-05-02,French Ligue 1,175,73,1998,5,2,2
653,A. TchouamÃ©ni,"CM, CDM",79,France,21,2000-01-27,French Ligue 1,187,81,2000,1,27,1
657,M. Lacroix,CB,79,France,21,2000-04-06,German 1. Bundesliga,190,88,2000,4,6,2
669,L. Koscielny,CB,78,France,35,1985-09-10,French Ligue 1,186,80,1985,9,10,3
683,E. Capoue,"CM, CDM",78,France,32,1988-07-11,Spain Primera Division,190,80,1988,7,11,3
689,M. Sissoko,"CDM, CM",78,France,31,1989-08-16,English Premier League,187,91,1989,8,16,3
695,S. Nzonzi,"CDM, CM",78,France,32,1988-12-15,Italian Serie A,196,89,1988,12,15,4
725,D. SidibÃ©,"RB, CB",78,France,28,1992-07-29,French Ligue 1,182,71,1992,7,29,3
746,F. Mollet,"CAM, CM",78,France,29,1991-11-19,French Ligue 1,170,67,1991,11,19,4
754,M. DembÃ©lÃ©,ST,78,France,24,1996-07-12,French Ligue 1,183,79,1996,7,12,3
766,B. Bourigeaud,"CM, LM",78,France,27,1994-01-14,French Ligue 1,178,68,1994,1,14,1
772,L. Dubois,RB,78,France,26,1994-09-14,French Ligue 1,178,65,1994,9,14,3
775,S. Gigot,CB,78,France,27,1993-10-12,Russian Premier League,187,83,1993,10,12,4
776,L. Ajorque,ST,78,France,27,1994-02-25,French Ligue 1,197,92,1994,2,25,1
777,B. Santamaria,"CDM, CM",78,France,26,1995-03-09,French Ligue 1,183,73,1995,3,9,1
797,A. Fulgini,"CAM, CM, RM",78,France,24,1996-08-20,French Ligue 1,183,71,1996,8,20,3
821,A. Lafont,GK,78,France,22,1999-01-23,French Ligue 1,196,90,1999,1,23,1
825,R. Le Normand,CB,78,France,24,1996-11-11,Spain Primera Division,187,81,1996,11,11,4
832,I. KonatÃ©,CB,78,France,22,1999-05-25,English Premier League,194,95,1999,5,25,2
835,D. Zagadou,CB,78,France,22,1999-06-03,German 1. Bundesliga,196,90,1999,6,3,2
839,B. SoumarÃ©,"CDM, CM",78,France,22,1999-02-27,English Premier League,188,82,1999,2,27,1
841,A. Gouiri,"ST, LM",78,France,21,2000-02-16,French Ligue 1,180,72,2000,2,16,1
853,Y. Fofana,"CM, CDM",78,France,22,1999-01-10,French Ligue 1,176,69,1999,1,10,1
857,M. Caqueret,"CM, CDM",78,France,21,2000-02-15,French Ligue 1,174,63,2000,2,15,1
859,E. Camavinga,"CM, CDM",78,France,18,2002-11-10,Spain Primera Division,182,68,2002,11,10,4
860,W. Fofana,CB,78,France,20,2000-12-17,English Premier League,190,76,2000,12,17,4
877,K. Gameiro,ST,77,France,34,1987-05-09,French Ligue 1,172,70,1987,5,9,2
878,M. Valbuena,"LW, CAM",77,France,36,1984-09-28,Greek Super League,167,58,1984,9,28,3
880,D. Da Silva,CB,77,France,33,1988-05-17,French Ligue 1,184,83,1988,5,17,2
918,F. Lejeune,CB,77,France,30,1991-05-20,Spain Primera Division,189,81,1991,5,20,2
919,J. Guilavogui,"CDM, CM, CB",77,France,30,1990-09-19,German 1. Bundesliga,188,77,1990,9,19,3
938,J. Roussillon,"LB, LM",77,France,28,1993-01-06,German 1. Bundesliga,175,80,1993,1,6,1
940,G. Defrel,"CAM, ST, LW",77,France,30,1991-06-17,Italian Serie A,179,77,1991,6,17,2
941,D. Foulquier,"RB, RM, LB",77,France,28,1993-03-23,Spain Primera Division,183,78,1993,3,23,1
965,N. Maupay,ST,77,France,24,1996-08-14,English Premier League,173,69,1996,8,14,3
982,S. Guirassy,ST,77,France,25,1996-03-12,French Ligue 1,187,82,1996,3,12,1
993,J. Amavi,LB,77,France,27,1994-03-09,French Ligue 1,176,70,1994,3,9,1
1008,V. Rongier,"CM, CDM",77,France,26,1994-12-07,French Ligue 1,172,70,1994,12,7,4
1009,P. Bernardoni,GK,77,France,24,1997-04-18,French Ligue 1,190,78,1997,4,18,2
1034,A. Disasi,CB,77,France,23,1998-03-11,French Ligue 1,190,86,1998,3,11,1
1035,F. Centonze,"RWB, RB",77,France,25,1996-01-16,French Ligue 1,182,75,1996,1,16,1
1036,F. Maouassa,LB,77,France,22,1998-07-06,Belgian Jupiler Pro League,170,73,1998,7,6,3
1054,L. Blas,"CAM, RM",77,France,23,1997-12-31,French Ligue 1,180,70,1997,12,31,4
1055,R. Perraud,LB,77,France,23,1997-09-22,English Premier League,173,68,1997,9,22,3
1059,I. Diop,CB,77,France,24,1997-01-09,English Premier League,194,92,1997,1,9,1
1073,V. Rosier,RB,77,France,24,1996-08-19,Turkish SÃ¼per Lig,175,75,1996,8,19,3
1082,E. Ndicka,"CB, LB",77,France,21,1999-08-20,German 1. Bundesliga,192,80,1999,8,20,3
1084,A. Claude-Maurice,"CAM, CM",77,France,23,1998-06-06,French Ligue 1,175,64,1998,6,6,2
1085,M. Guendouzi,"CDM, CM",77,France,22,1999-04-14,French Ligue 1,185,68,1999,4,14,2
1091,M. Terrier,"ST, LW",77,France,24,1997-03-04,French Ligue 1,184,73,1997,3,4,1
1098,J. Clauss,"RWB, RW",77,France,28,1992-09-25,French Ligue 1,178,67,1992,9,25,3
1111,I. Meslier,GK,77,France,21,2000-03-02,English Premier League,196,74,2000,3,2,1
1118,S. Diop,"LM, RM, CF",77,France,21,2000-06-09,French Ligue 1,175,65,2000,6,9,2
1144,G. Clichy,LB,76,France,35,1985-07-26,Swiss Super League,176,65,1985,7,26,3
1171,R. Thomas,CB,76,France,33,1988-06-12,French Ligue 1,193,84,1988,6,12,2
1193,M. Gonalons,"CDM, CM",76,France,32,1989-03-10,Spain Primera Division,187,76,1989,3,10,1
1196,X. Chavalerin,"CDM, CM",76,France,30,1991-03-07,French Ligue 1,178,66,1991,3,7,1
1205,N. Pallois,CB,76,France,33,1987-09-19,French Ligue 1,189,89,1987,9,19,3
1220,L. Kurzawa,LB,76,France,28,1992-09-04,French Ligue 1,182,74,1992,9,4,3
1224,J. Schmid,"RB, RM, RWB",76,France,31,1990-06-22,German 1. Bundesliga,179,80,1990,6,22,2
1230,T. Delaine,"LWB, LB, RB",76,France,29,1992-03-24,French Ligue 1,180,70,1992,3,24,1
1232,K. Lala,"RB, RWB",76,France,29,1991-10-03,Greek Super League,178,78,1991,10,3,4
1243,S. MeÃ¯tÃ©,"CM, CDM",76,France,27,1994-03-17,Portuguese Liga ZON SAGRES,187,80,1994,3,17,1
1252,J. Ferri,"CDM, CM",76,France,29,1992-03-12,French Ligue 1,173,73,1992,3,12,1
1267,A. Thomasson,"CAM, CM",76,France,27,1993-12-10,French Ligue 1,177,72,1993,12,10,4
1277,M. Sanson,CM,76,France,26,1994-08-18,English Premier League,180,73,1994,8,18,3
1295,F. Tait,"LM, LW, CM",76,France,28,1993-02-02,French Ligue 1,175,70,1993,2,2,1
1321,M. Malsa,"CM, CDM",76,France,25,1995-10-12,Spain Primera Division,178,69,1995,10,12,4
1342,M. NiakhatÃ©,CB,76,France,25,1996-03-08,German 1. Bundesliga,190,85,1996,3,8,1
1343,O. Boscagli,"CB, LB, CDM",76,France,23,1997-11-18,Holland Eredivisie,181,68,1997,11,18,4
1351,F. Guilbert,"RB, RWB",76,France,26,1994-12-24,French Ligue 1,178,78,1994,12,24,4
1352,L. Tousart,"CDM, CM",76,France,24,1997-04-29,German 1. Bundesliga,185,83,1997,4,29,2
1366,P. Lees-Melou,CM,76,France,28,1993-05-25,English Premier League,186,70,1993,5,25,2
1381,G. Larsonneur,GK,76,France,24,1997-02-23,French Ligue 1,181,70,1997,2,23,1
1427,C. Dagba,RB,76,France,22,1998-09-09,French Ligue 1,170,62,1998,9,9,3
1428,P. Gueye,"CDM, CM",76,France,22,1999-01-24,French Ligue 1,187,79,1999,1,24,1
1434,B. Badiashile,CB,76,France,20,2001-03-26,French Ligue 1,194,75,2001,3,26,1
1449,J. Todibo,CB,76,France,21,1999-12-30,French Ligue 1,190,88,1999,12,30,4
1473,J. Leca,GK,75,France,35,1985-09-21,French Ligue 1,180,75,1985,9,21,3
1478,M. Debuchy,RB,75,France,35,1985-07-28,French Ligue 2,176,76,1985,7,28,3
1496,J. Babin,CB,75,France,34,1986-10-14,Spanish Segunda DivisiÃ³n,183,88,1986,10,14,4
1500,M. Schneiderlin,"CDM, CM",75,France,31,1989-11-08,French Ligue 1,186,79,1989,11,8,4
1511,M. Sakho,CB,75,France,31,1990-02-13,French Ligue 1,187,83,1990,2,13,1
1518,R. Alessandrini,"ST, RM",75,France,32,1989-04-03,Chinese Super League,173,70,1989,4,3,2
1565,R. Hamouma,"ST, RM",75,France,34,1987-03-29,French Ligue 1,178,76,1987,3,29,1
1597,A. Soumaoro,CB,75,France,29,1992-06-18,Italian Serie A,187,91,1992,6,18,2
1620,B. Sarr,"RB, RM",75,France,29,1992-01-31,German 1. Bundesliga,177,69,1992,1,31,1
1650,C. Jullien,CB,75,France,28,1993-03-22,Scottish Premiership,196,88,1993,3,22,1
1653,R. Ripart,"ST, LM, CM",75,France,28,1993-03-14,French Ligue 1,181,73,1993,3,14,1
1654,P. Capelle,"RM, CM, LB",75,France,34,1987-04-15,French Ligue 1,181,73,1987,4,15,2
1668,I. Amadou,"CDM, CB, CM",75,France,28,1993-04-06,Spain Primera Division,183,81,1993,4,6,2
1680,A. Tameze,"CDM, CM",75,France,27,1994-02-04,Italian Serie A,180,78,1994,2,4,1
1681,L. Abergel,"CDM, CM",75,France,28,1993-02-01,French Ligue 1,170,65,1993,2,1,1
1730,G. Nkoudou,"LM, LW",75,France,26,1995-02-13,Turkish SÃ¼per Lig,172,75,1995,2,13,1
1737,F. Honorat,"RM, LM",75,France,24,1996-08-11,French Ligue 1,180,70,1996,8,11,3
1745,J. Gradit,"CB, RB",75,France,28,1992-11-24,French Ligue 1,180,75,1992,11,24,4
1762,J. Sambia,RB,75,France,24,1996-09-07,French Ligue 1,185,73,1996,9,7,3
1767,M. Lopez,CM,75,France,23,1997-12-04,Italian Serie A,167,58,1997,12,4,4
1804,J. Reine-AdÃ©laÃ¯de,"CM, CAM, RW",75,France,23,1998-01-17,French Ligue 1,184,75,1998,1,17,1
1850,R. Del Castillo,"RM, LM",75,France,25,1996-03-29,French Ligue 1,172,65,1996,3,29,1
1853,Y. Karamoh,"RM, RW",75,France,22,1998-07-08,Turkish SÃ¼per Lig,185,77,1998,7,8,3
1865,O. Edouard,ST,75,France,23,1998-01-16,English Premier League,187,83,1998,1,16,1
1884,J. Mateta,ST,75,France,24,1997-06-28,English Premier League,192,88,1997,6,28,2
1922,R. Faivre,"RM, LM",75,France,22,1998-07-14,French Ligue 1,180,69,1998,7,14,3
1924,I. Louza,"CM, CAM, CDM",75,France,22,1999-05-01,English Premier League,178,65,1999,5,1,2
1928,Y. Adli,"CM, CDM",75,France,20,2000-07-29,French Ligue 1,186,78,2000,7,29,3
1929,M. Camara,"CDM, CM",75,France,23,1998-06-30,French Ligue 1,178,69,1998,6,30,2
1931,W. Saliba,CB,75,France,20,2001-03-24,French Ligue 1,192,85,2001,3,24,1
1932,M. Simakan,"CB, RB",75,France,21,2000-05-03,German 1. Bundesliga,187,82,2000,5,3,2
1961,A. Truffert,"LB, LW",75,France,19,2001-11-20,French Ligue 1,173,63,2001,11,20,4
1975,Y. Cahuzac,"CDM, CM",74,France,36,1985-01-18,French Ligue 1,178,72,1985,1,18,1
1980,P. Baysse,CB,74,France,33,1988-05-18,French Ligue 1,185,83,1988,5,18,2
1981,T. Mangani,"CM, CDM",74,France,34,1987-04-29,French Ligue 1,183,79,1987,4,29,2
1985,L. RÃ©my,ST,74,France,34,1987-01-02,Turkish SÃ¼per Lig,185,82,1987,1,2,1
2021,V. Manceau,"RB, LB, CB",74,France,31,1989-07-10,French Ligue 1,176,70,1989,7,10,3
2023,D. Le Tallec,"CDM, CM",74,France,31,1990-04-19,Greek Super League,187,77,1990,4,19,2
2040,A. Souquet,RB,74,France,29,1992-02-12,French Ligue 1,179,74,1992,2,12,1
2058,K. Malcuit,RB,74,France,29,1991-07-31,Italian Serie A,178,77,1991,7,31,3
2084,X. Mercier,"CAM, CF, CM",74,France,31,1989-07-25,Belgian Jupiler Pro League,174,71,1989,7,25,3
2230,F. Sotoca,ST,74,France,30,1990-10-25,French Ligue 1,187,77,1990,10,25,4
2235,A. TourÃ©,"RWB, CB, RM",74,France,25,1996-04-28,German 1. Bundesliga,183,81,1996,4,28,2
2284,M. Cafaro,"LM, RM, CM",74,France,24,1997-03-25,French Ligue 1,178,74,1997,3,25,1
2287,J. Gnagnon,CB,74,France,24,1997-01-13,Spain Primera Division,182,89,1997,1,13,1
2295,T. Henry,ST,74,France,26,1994-09-20,Italian Serie A,192,86,1994,9,20,3
2304,R. Oudin,"RM, LM",74,France,24,1996-11-18,French Ligue 1,186,81,1996,11,18,4
2320,D. LiÃ©nard,"CM, CDM, LM",74,France,33,1988-02-13,French Ligue 1,181,77,1988,2,13,1
2322,M. Sarr,"CB, LB",74,France,22,1999-01-23,English Premier League,182,75,1999,1,23,1
2333,C. Michelin,"RWB, RB",74,France,24,1997-05-11,Greek Super League,178,65,1997,5,11,2
2337,A. Caci,"LB, LWB, CB",74,France,24,1997-07-01,French Ligue 1,186,74,1997,7,1,3
2347,R. Kolo Muani,"ST, RW, LW",74,France,22,1998-12-05,French Ligue 1,187,73,1998,12,5,4
2381,B. Mbeumo,"RW, ST, CF",74,France,21,1999-08-07,English Premier League,171,75,1999,8,7,3
2403,K. Thuram,"CDM, CM",74,France,20,2001-03-26,French Ligue 1,192,81,2001,3,26,1
2415,A. Aouchiche,"LM, CAM, CM",74,France,18,2002-07-15,French Ligue 1,181,72,2002,7,15,3
2421,L. BadÃ©,CB,74,France,21,2000-04-11,French Ligue 1,191,89,2000,4,11,2
2433,R. Salin,GK,73,France,36,1984-07-29,French Ligue 1,189,76,1984,7,29,3
2448,D. CongrÃ©,CB,73,France,36,1985-04-05,French Ligue 2,185,80,1985,4,5,2
2479,S. De Maio,CB,73,France,34,1987-03-05,Italian Serie A,190,90,1987,3,5,1
2485,F. Lemoine,"CDM, CM",73,France,34,1987-03-16,French Ligue 1,175,71,1987,3,16,1
2510,T. Kolodziejczak,"CB, LB",73,France,29,1991-10-01,French Ligue 1,185,75,1991,10,1,4
2523,K. ThÃ©ophile-Catherine,"CB, RB",73,France,31,1989-10-28,Croatian Prva HNL,183,86,1989,10,28,4
2529,S. Corchia,RB,73,France,30,1990-11-01,French Ligue 1,175,67,1990,11,1,4
2537,G. Charbonnier,"ST, CAM",73,France,32,1988-12-27,French Ligue 2,188,80,1988,12,27,4
2542,V. Le Goff,"LB, LWB",73,France,31,1989-10-15,French Ligue 1,177,69,1989,10,15,4
2562,B. Stambouli,"CDM, CB",73,France,30,1990-08-13,Turkish SÃ¼per Lig,180,82,1990,8,13,3
2564,M. Autret,"CAM, CM, LM",73,France,30,1991-03-01,French Ligue 2,179,71,1991,3,1,1
2584,N. De PrÃ©ville,"CAM, ST",73,France,30,1991-01-08,French Ligue 1,178,78,1991,1,8,1
2585,M. Colin,"RB, RWB",73,France,29,1991-11-15,English League Championship,180,76,1991,11,15,4
2586,M. Le Bihan,ST,73,France,31,1990-05-16,French Ligue 2,184,80,1990,5,16,2
2599,V. Germain,"ST, RM",73,France,31,1990-04-17,French Ligue 1,181,75,1990,4,17,2
2603,B. Reynet,GK,73,France,30,1990-10-28,French Ligue 2,185,90,1990,10,28,4
2624,P. Nardi,GK,73,France,27,1994-05-18,French Ligue 1,188,82,1994,5,18,2
2646,C. HÃ©relle,CB,73,France,28,1992-08-22,French Ligue 1,188,79,1992,8,22,3
2649,J. Gastien,CDM,73,France,33,1988-01-25,French Ligue 1,179,69,1988,1,25,1
2654,F. Tardieu,CDM,73,France,29,1992-04-22,French Ligue 1,184,70,1992,4,22,2
2673,N. Gavory,"LB, LWB",73,France,26,1995-02-16,Belgian Jupiler Pro League,183,79,1995,2,16,1
2688,W. Cyprien,"CM, CDM",73,France,26,1995-01-28,French Ligue 1,181,78,1995,1,28,1
2713,G. Gallon,GK,73,France,28,1993-04-23,French Ligue 1,186,79,1993,4,23,2
2723,A. Hunou,ST,73,France,27,1994-01-19,USA Major League Soccer,179,70,1994,1,19,1
2726,B. Chardonnet,CB,73,France,26,1994-12-22,French Ligue 1,181,74,1994,12,22,4
2743,J. Beauguel,ST,73,France,29,1992-03-21,Czech Republic Gambrinus Liga,196,98,1992,3,21,1
2779,A. Zedadka,RB,73,France,26,1995-05-30,French Ligue 1,173,72,1995,5,30,2
2817,M. Coco,"RM, LM, RW",73,France,25,1996-06-24,French Ligue 1,184,78,1996,6,24,2
2894,M. Diakhaby,"CB, CDM",73,France,24,1996-12-19,Spain Primera Division,189,78,1996,12,19,4
2900,K. Amian,"CB, RB",73,France,23,1998-02-08,Italian Serie A,180,78,1998,2,8,1
2904,R. Pierre-Gabriel,RB,73,France,23,1998-06-13,French Ligue 1,177,80,1998,6,13,2
2919,S. Alakouch,RB,73,France,22,1998-07-29,French Ligue 1,175,66,1998,7,29,3
2942,J. Bellegarde,"CM, RM, CDM",73,France,23,1998-06-27,French Ligue 1,172,70,1998,6,27,2
2948,I. Cardona,ST,73,France,23,1997-08-08,French Ligue 1,185,76,1997,8,8,3
2958,A. Nordin,"RM, LM, ST",73,France,23,1998-06-17,French Ligue 1,170,69,1998,6,17,2
2990,I. Diallo,"CDM, CM",73,France,22,1999-03-08,English Premier League,179,68,1999,3,8,1
2993,M. Cuisance,"CM, CAM, CDM",73,France,21,1999-08-16,German 1. Bundesliga,181,74,1999,8,16,3
2999,M. Nzola,"ST, RW",73,France,24,1996-08-18,Italian Serie A,185,82,1996,8,18,3
3018,R. AÃ¯t Nouri,"LWB, LB",73,France,20,2001-06-06,English Premier League,179,70,2001,6,6,2
3022,A. LaurientÃ©,"RM, RW",73,France,22,1998-12-04,French Ligue 1,171,59,1998,12,4,4
3056,M. Olise,"CAM, RM, LM",73,France,19,2001-12-12,English Premier League,184,68,2001,12,12,4
3061,R. Cherki,"RW, LW",73,France,17,2003-08-17,French Ligue 1,176,71,2003,8,17,3
3064,R. Nteka,"ST, CAM, CM",73,France,23,1997-12-06,Spain Primera Division,189,75,1997,12,6,4
3076,A. Kalimuendo,ST,73,France,19,2002-01-20,French Ligue 1,175,78,2002,1,20,1
3079,Y. MaÃ§on,"RB, LB",73,France,22,1998-10-01,French Ligue 1,176,74,1998,10,1,4
3095,J. Briand,ST,72,France,35,1985-08-02,French Ligue 1,181,84,1985,8,2,3
3121,R. Gurtner,GK,72,France,34,1986-12-08,French Ligue 2,182,82,1986,12,8,4
3125,L. Deaux,"CDM, CM",72,France,32,1988-12-26,French Ligue 2,188,82,1988,12,26,4
3135,A. Modeste,ST,72,France,33,1988-04-14,German 1. Bundesliga,187,84,1988,4,14,2
3139,A. Rami,CB,72,France,35,1985-12-27,French Ligue 1,190,90,1985,12,27,4
3144,J. Pied,"RB, LB",72,France,32,1989-02-23,French Ligue 1,173,73,1989,2,23,1
3181,Y. Ravet,"RW, RM",72,France,31,1989-09-12,French Ligue 2,177,72,1989,9,12,3
3202,M. Le Marchand,"CB, LB",72,France,31,1989-10-11,French Ligue 1,185,78,1989,10,11,4
3231,J. Martin,CM,72,France,31,1990-04-09,French Ligue 1,184,76,1990,4,9,2
3247,A. Losilla,"CDM, CM, CB",72,France,35,1986-03-10,German 1. Bundesliga,185,80,1986,3,10,1
3250,Y. Court,"RM, LM, CAM",72,France,31,1990-01-14,French Ligue 2,172,70,1990,1,14,1
3274,V. Eysseric,"LM, CAM, CF",72,France,29,1992-03-25,Turkish SÃ¼per Lig,181,73,1992,3,25,1
3295,M. DupÃ©,GK,72,France,28,1993-03-04,French Ligue 2,186,85,1993,3,4,1
3320,T. DingomÃ©,"CM, CAM",72,France,30,1991-02-17,French Ligue 1,174,71,1991,2,17,1
3347,A. TourÃ©,"CDM, CM",72,France,27,1994-03-03,Italian Serie A,188,84,1994,3,3,1
3417,R. Dugimont,"LM, CAM, ST",72,France,35,1986-07-01,French Ligue 2,182,75,1986,7,1,3
3439,T. Didillon,GK,72,France,25,1995-11-28,Belgian Jupiler Pro League,189,88,1995,11,28,4
3454,E. Crivelli,"ST, LW",72,France,26,1995-02-06,Turkish SÃ¼per Lig,184,84,1995,2,6,1
3464,J. Prior,GK,72,France,25,1995-08-08,Spanish Segunda DivisiÃ³n,187,86,1995,8,8,3
3472,A. Blin,"CDM, CM",72,France,24,1996-09-16,Italian Serie B,184,78,1996,9,16,3
3479,A. BrianÃ§on,CB,72,France,26,1994-11-29,French Ligue 2,185,79,1994,11,29,4
3484,P. Martinez,CB,72,France,32,1989-02-21,French Ligue 2,182,77,1989,2,21,1
3498,A. Lusamba,"CM, LW, RW",72,France,24,1997-01-04,French Ligue 2,179,74,1997,1,4,1
3504,J. Butez,GK,72,France,26,1995-06-08,Belgian Jupiler Pro League,188,70,1995,6,8,2
3530,J. Laporte,CB,72,France,27,1993-11-04,French Ligue 1,185,82,1993,11,4,4
3535,D. Bertaud,GK,72,France,23,1998-06-06,French Ligue 1,180,85,1998,6,6,2
3544,J. Berthomier,CAM,72,France,31,1990-01-06,French Ligue 1,177,74,1990,1,6,1
3554,A. Desmas,GK,72,France,27,1994-04-07,French Ligue 1,196,87,1994,4,7,2
3560,E. Kwateng,RB,72,France,24,1997-04-09,French Ligue 1,181,84,1997,4,9,2
3612,I. Sissoko,"CM, CDM",72,France,23,1997-10-27,French Ligue 1,193,90,1997,10,27,4
3619,S. Banza,ST,72,France,24,1996-08-13,Portuguese Liga ZON SAGRES,189,77,1996,8,13,3
3624,Y. NiakatÃ©,ST,72,France,28,1992-12-16,Saudi Abdul L. Jameel League,178,79,1992,12,16,4
