,Full Name,Birth_date,Sex,Birth Country,Category,year,month,day,trimestre
156,Sir Chandrasekhara Venkata Raman,1888-11-07,Male,India,Physics,1888,11,7,4
157,Carl Bosch,1874-08-27,Male,Germany,Chemistry,1874,8,27,3
158,Carl Bosch,1874-08-27,Male,Germany,Chemistry,1874,8,27,3
159,Friedrich Bergius,1884-10-11,Male,Germany (Poland),Chemistry,1884,10,11,4
160,Friedrich Bergius,1884-10-11,Male,Germany (Poland),Chemistry,1884,10,11,4
162,Otto Heinrich Warburg,1883-10-08,Male,Germany,Medicine,1883,10,8,4
169,Werner Karl Heisenberg,1901-12-05,Male,Germany,Physics,1901,12,5,4
173,Erwin SchrÃ¶dinger,1887-08-12,Male,Austria,Physics,1887,8,12,3
182,FrÃ©dÃ©ric Joliot,1900-03-19,Male,France,Chemistry,1900,3,19,1
183,IrÃ¨ne Joliot-Curie,1897-09-12,Female,France,Chemistry,1897,9,12,3
184,Hans Spemann,1869-06-27,Male,W&uuml;rttemberg (Germany),Medicine,1869,6,27,2
187,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Male,Netherlands,Chemistry,1884,3,24,1
188,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Male,Netherlands,Chemistry,1884,3,24,1
191,Otto Loewi,1873-06-03,Male,Germany,Medicine,1873,6,3,2
193,Victor Franz Hess,1883-06-24,Male,Austria,Physics,1883,6,24,2
196,Paul Karrer,1889-04-21,Male,Russia,Chemistry,1889,4,21,2
198,Albert von Szent-GyÃ¶rgyi NagyrÃ¡polt,1893-09-16,Male,Austria-Hungary (Hungary),Medicine,1893,9,16,3
202,Richard Kuhn,1900-12-03,Male,Austria-Hungary (Austria),Chemistry,1900,12,3,4
203,Richard Kuhn,1900-12-03,Male,Austria-Hungary (Austria),Chemistry,1900,12,3,4
205,Corneille Jean FranÃ§ois Heymans,1892-03-28,Male,Belgium,Medicine,1892,3,28,1
207,Enrico Fermi,1901-09-29,Male,Italy,Physics,1901,9,29,3
208,Adolf Friedrich Johann Butenandt,1903-03-24,Male,Germany,Chemistry,1903,3,24,1
209,Adolf Friedrich Johann Butenandt,1903-03-24,Male,Germany,Chemistry,1903,3,24,1
210,Leopold Ruzicka,1887-09-13,Male,Austria-Hungary (Croatia),Chemistry,1887,9,13,3
212,Gerhard Domagk,1895-10-30,Male,Germany (Poland),Medicine,1895,10,30,4
214,George de Hevesy,1885-08-01,Male,Austria-Hungary (Hungary),Chemistry,1885,8,1,3
215,Henrik Carl Peter Dam,1895-02-21,Male,Denmark,Medicine,1895,2,21,1
217,Otto Stern,1888-02-17,Male,Germany (Poland),Physics,1888,2,17,1
218,Otto Hahn,1879-03-08,Male,Germany,Chemistry,1879,3,8,1
223,Isidor Isaac Rabi,1898-07-29,Male,Austria-Hungary (Poland),Physics,1898,7,29,3
224,Artturi Ilmari Virtanen,1895-01-15,Male,Russian Empire (Finland),Chemistry,1895,1,15,1
226,Sir Alexander Fleming,1881-08-06,Male,Scotland,Medicine,1881,8,6,3
227,Ernst Boris Chain,1906-06-19,Male,Germany,Medicine,1906,6,19,2
228,Sir Howard Walter Florey,1898-09-24,Male,Australia,Medicine,1898,9,24,3
230,Wolfgang Pauli,1900-04-25,Male,Austria,Physics,1900,4,25,2
241,Carl Ferdinand Cori,1896-12-05,Male,Austria-Hungary (Czech Republic),Medicine,1896,12,5,4
242,"Gerty Theresa Cori, nÃ©e Radnitz",1896-08-15,Female,Austria-Hungary (Czech Republic),Medicine,1896,8,15,3
243,Bernardo Alberto Houssay,1887-04-10,Male,Argentina,Medicine,1887,4,10,2
247,Arne Wilhelm Kaurin Tiselius,1902-08-10,Male,Sweden,Chemistry,1902,8,10,3
249,Paul Hermann MÃ¼ller,1899-01-12,Male,Switzerland,Medicine,1899,1,12,1
251,William Francis Giauque,1895-05-12,Male,Canada,Chemistry,1895,5,12,2
253,Walter Rudolf Hess,1881-03-17,Male,Switzerland,Medicine,1881,3,17,1
254,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Male,Portugal,Medicine,1874,11,29,4
255,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Male,Portugal,Medicine,1874,11,29,4
257,Hideki Yukawa,1907-01-23,Male,Japan,Physics,1907,1,23,1
258,Hideki Yukawa,1907-01-23,Male,Japan,Physics,1907,1,23,1
259,Otto Paul Hermann Diels,1876-01-23,Male,Germany,Chemistry,1876,1,23,1
260,Kurt Alder,1902-07-10,Male,Prussia (Poland),Chemistry,1902,7,10,3
263,Tadeus Reichstein,1897-07-20,Male,Poland,Medicine,1897,7,20,3
270,Max Theiler,1899-01-30,Male,South Africa,Medicine,1899,1,30,1
273,Ernest Thomas Sinton Walton,1903-10-06,Male,Ireland,Physics,1903,10,6,4
277,Selman Abraham Waksman,1888-07-22,Male,Russian Empire (Ukraine),Medicine,1888,7,22,3
279,Felix Bloch,1905-10-23,Male,Switzerland,Physics,1905,10,23,4
281,Hermann Staudinger,1881-03-23,Male,Germany,Chemistry,1881,3,23,1
282,Hermann Staudinger,1881-03-23,Male,Germany,Chemistry,1881,3,23,1
284,Hans Adolf Krebs,1900-08-25,Male,Germany,Medicine,1900,8,25,3
285,Fritz Albert Lipmann,1899-06-12,Male,Germany (Russia),Medicine,1899,6,12,2
286,Fritz Albert Lipmann,1899-06-12,Male,Germany (Russia),Medicine,1899,6,12,2
288,Frits Zernike,1888-07-16,Male,Netherlands,Physics,1888,7,16,3
296,Max Born,1882-12-11,Male,Germany (Poland),Physics,1882,12,11,4
297,Walther Bothe,1891-01-08,Male,Germany,Physics,1891,1,8,1
298,Walther Bothe,1891-01-08,Male,Germany,Physics,1891,1,8,1
301,Axel Hugo Theodor Theorell,1903-07-06,Male,Sweden,Medicine,1903,7,6,3
303,Polykarp Kusch,1911-01-26,Male,Germany,Physics,1911,1,26,1
305,Nikolay Nikolaevich Semenov,1896-04-03,Male,Russia,Chemistry,1896,4,3,2
307,AndrÃ© FrÃ©dÃ©ric Cournand,1895-09-24,Male,France,Medicine,1895,9,24,3
308,Werner Forssmann,1904-08-29,Male,Germany,Medicine,1904,8,29,3
313,Walter Houser Brattain,1902-02-10,Male,China,Physics,1902,2,10,1
314,Lord (Alexander R.) Todd,1907-10-02,Male,Scotland,Chemistry,1907,10,2,4
316,Daniel Bovet,1907-03-23,Male,Switzerland,Medicine,1907,3,23,1
327,Igor Yevgenyevich Tamm,1895-07-08,Male,Russia,Physics,1895,7,8,3
328,Igor Yevgenyevich Tamm,1895-07-08,Male,Russia,Physics,1895,7,8,3
329,IlÂ´ja Mikhailovich Frank,1908-10-23,Male,Russia,Physics,1908,10,23,4
330,IlÂ´ja Mikhailovich Frank,1908-10-23,Male,Russia,Physics,1908,10,23,4
331,Jaroslav Heyrovsky,1890-12-20,Male,Austria-Hungary (Czech Republic),Chemistry,1890,12,20,4
333,Severo Ochoa,1905-09-24,Male,Spain,Medicine,1905,9,24,3
336,Emilio Gino SegrÃ¨,1905-02-01,Male,Italy,Physics,1905,2,1,1
340,Sir Frank Macfarlane Burnet,1899-09-03,Male,Australia,Medicine,1899,9,3,3
341,Peter Brian Medawar,1915-02-28,Male,Brazil,Medicine,1915,2,28,1
346,Georg von BÃ©kÃ©sy,1899-06-03,Male,Hungary,Medicine,1899,6,3,2
351,Max Ferdinand Perutz,1914-05-19,Male,Austria,Chemistry,1914,5,19,2
356,Maurice Hugh Frederick Wilkins,1916-12-15,Male,New Zealand,Medicine,1916,12,15,4
358,Lev Davidovich Landau,1908-01-22,Male,Russian Empire (Azerbaijan),Physics,1908,1,22,1
359,Karl Ziegler,1898-11-26,Male,Germany,Chemistry,1898,11,26,4
360,Giulio Natta,1903-02-26,Male,Italy,Chemistry,1903,2,26,1
362,Sir John Carew Eccles,1903-01-27,Male,Australia,Medicine,1903,1,27,1
367,Eugene Paul Wigner,1902-11-17,Male,Austria-Hungary (Hungary),Physics,1902,11,17,4
368,Maria Goeppert Mayer,1906-06-28,Female,Germany (Poland),Physics,1906,6,28,2
369,J. Hans D. Jensen,1907-06-25,Male,Germany,Physics,1907,6,25,2
370,Dorothy Crowfoot Hodgkin,1910-05-12,Female,Egypt,Chemistry,1910,5,12,2
372,Konrad Bloch,1912-01-21,Male,Germany (Poland),Medicine,1912,1,21,1
373,Feodor Lynen,1911-04-06,Male,Germany,Medicine,1911,4,6,2
376,Nicolay Gennadiyevich Basov,1922-12-14,Male,Union of Soviet Socialist Republics (Russia),Physics,1922,12,14,4
377,Aleksandr Mikhailovich Prokhorov,1916-07-11,Male,Australia,Physics,1916,7,11,3
380,FranÃ§ois Jacob,1920-06-17,Male,France,Medicine,1920,6,17,2
381,AndrÃ© Lwoff,1902-05-08,Male,France,Medicine,1902,5,8,2
382,Jacques Monod,1910-02-09,Male,France,Medicine,1910,2,9,1
384,Sin-Itiro Tomonaga,1906-03-31,Male,Japan,Physics,1906,3,31,1
391,Charles Brenton Huggins,1901-09-22,Male,Canada,Medicine,1901,9,22,3
392,Alfred Kastler,1902-05-03,Male,Germany (France),Physics,1902,5,3,2
397,Ragnar Granit,1900-10-30,Male,Russian Empire (Finland),Medicine,1900,10,30,4
400,Hans Albrecht Bethe,1906-07-02,Male,Germany (France),Physics,1906,7,2,3
401,Lars Onsager,1903-11-27,Male,Norway,Chemistry,1903,11,27,4
404,Har Gobind Khorana,1922-01-09,Male,India,Medicine,1922,1,9,1
409,Odd Hassel,1897-05-17,Male,Norway,Chemistry,1897,5,17,2
410,Ragnar Frisch,1895-03-03,Male,Norway,Economics,1895,3,3,1
411,Jan Tinbergen,1903-04-12,Male,Netherlands,Economics,1903,4,12,2
413,Max DelbrÃ¼ck,1906-09-04,Male,Germany,Medicine,1906,9,4,3
415,Salvador E. Luria,1912-08-13,Male,Italy,Medicine,1912,8,13,3
418,Luis F. Leloir,1906-09-06,Male,France,Chemistry,1906,9,6,3
421,Sir Bernard Katz,1911-03-26,Male,Germany,Medicine,1911,3,26,1
422,Ulf von Euler,1905-02-07,Male,Sweden,Medicine,1905,2,7,1
425,Hannes Olof GÃ¶sta AlfvÃ©n,1908-05-30,Male,Sweden,Physics,1908,5,30,2
426,Louis EugÃ¨ne FÃ©lix NÃ©el,1904-11-22,Male,France,Physics,1904,11,22,4
427,Gerhard Herzberg,1904-12-25,Male,Germany,Chemistry,1904,12,25,4
428,Simon Kuznets,1901-04-30,Male,Russian Empire (Belarus),Economics,1901,4,30,2
432,Dennis Gabor,1900-06-05,Male,Hungary,Physics,1900,6,5,2
444,Ernst Otto Fischer,1918-11-10,Male,Germany,Chemistry,1918,11,10,4
446,Wassily Leontief,1906-08-05,Male,Russia,Economics,1906,8,5,3
448,Karl von Frisch,1886-11-20,Male,Austria,Medicine,1886,11,20,4
449,Konrad Lorenz,1903-11-07,Male,Austria,Medicine,1903,11,7,4
450,Nikolaas Tinbergen,1907-04-15,Male,Netherlands,Medicine,1907,4,15,2
461,Albert Claude,1898-08-24,Male,Belgium,Medicine,1898,8,24,3
464,George E. Palade,1912-11-19,Male,Romania,Medicine,1912,11,19,4
470,Vladimir Prelog,1906-07-23,Male,Austria-Hungary (Bosnia and Herzegovina),Chemistry,1906,7,23,3
471,Leonid Vitaliyevich Kantorovich,1912-01-19,Male,Russian Empire (Russia),Economics,1912,1,19,1
472,Tjalling C. Koopmans,1910-08-28,Male,Netherlands,Economics,1910,8,28,3
475,Renato Dulbecco,1914-02-22,Male,Italy,Medicine,1914,2,22,1
478,Aage Niels Bohr,1922-06-19,Male,Denmark,Physics,1922,6,19,2
490,Ilya Prigogine,1917-01-25,Male,Russia,Chemistry,1917,1,25,1
491,Ilya Prigogine,1917-01-25,Male,Russia,Chemistry,1917,1,25,1
492,Bertil Ohlin,1899-04-23,Male,Sweden,Economics,1899,4,23,2
510,Pyotr Leonidovich Kapitsa,1894-07-09,Male,Russian Empire (Russia),Physics,1894,7,9,3
514,Georg Wittig,1897-06-16,Male,Germany,Chemistry,1897,6,16,2
516,Sir Arthur Lewis,1915-01-23,Male,British West Indies (Saint Lucia),Economics,1915,1,23,1
518,Allan M. Cormack,1924-02-23,Male,South Africa,Medicine,1924,2,23,1
522,Abdus Salam,1926-01-29,Male,India (Pakistan),Physics,1926,1,29,1
523,Abdus Salam,1926-01-29,Male,India (Pakistan),Physics,1926,1,29,1
530,Baruj Benacerraf,1920-10-29,Male,Venezuela,Medicine,1920,10,29,4
531,Jean Dausset,1916-10-19,Male,France,Medicine,1916,10,19,4
536,Kenichi Fukui,1918-10-04,Male,Japan,Chemistry,1918,10,4,4
541,David H. Hubel,1926-02-27,Male,Canada,Medicine,1926,2,27,1
546,Kai M. Siegbahn,1918-04-20,Male,Sweden,Physics,1918,4,20,2
550,Sune K. BergstrÃ¶m,1916-01-10,Male,Sweden,Medicine,1916,1,10,1
556,Henry Taube,1915-11-30,Male,Canada,Chemistry,1915,11,30,4
557,Gerard Debreu,1921-07-04,Male,France,Economics,1921,7,4,3
561,Subramanyan Chandrasekhar,1910-10-19,Male,India (Pakistan),Physics,1910,10,19,4
567,Georges J.F. KÃ¶hler,1946-04-17,Male,Germany,Medicine,1946,4,17,2
568,CÃ©sar Milstein,1927-10-08,Male,Argentina,Medicine,1927,10,8,4
571,Simon van der Meer,1925-11-24,Male,Netherlands,Physics,1925,11,24,4
574,Franco Modigliani,1918-06-18,Male,Italy,Economics,1918,6,18,2
586,Rita Levi-Montalcini,1909-04-22,Female,Italy,Medicine,1909,4,22,2
588,Ernst Ruska,1906-12-25,Male,Germany,Physics,1906,12,25,4
590,Heinrich Rohrer,1933-06-06,Male,Switzerland,Physics,1933,6,6,2
594,Charles J. Pedersen,1904-10-03,Male,Korea (South Korea),Chemistry,1904,10,3,4
605,Maurice Allais,1911-05-31,Male,France,Economics,1911,5,31,2
616,Trygve Haavelmo,1911-12-13,Male,Norway,Economics,1911,12,13,4
623,Wolfgang Paul,1913-08-10,Male,Germany,Physics,1913,8,10,3
641,Pierre-Gilles de Gennes,1932-10-24,Male,France,Physics,1932,10,24,4
648,Georges Charpak,1924-08-01,Male,Poland,Physics,1924,8,1,3
649,Georges Charpak,1924-08-01,Male,Poland,Physics,1924,8,1,3
662,John C. Harsanyi,1920-05-29,Male,Hungary,Economics,1920,5,29,2
664,Reinhard Selten,1930-10-05,Male,Germany (Poland),Economics,1930,10,5,4
671,Bertram N. Brockhouse,1918-07-15,Male,Canada,Physics,1918,7,15,3
689,William Vickrey,1914-06-21,Male,Canada,Economics,1914,6,21,2
711,Walter Kohn,1923-03-09,Male,Austria,Chemistry,1923,3,9,1
732,Alan G. MacDiarmid,1927-04-14,Male,New Zealand,Chemistry,1927,4,14,2
799,Yves Chauvin,1930-10-10,Male,Belgium,Chemistry,1930,10,10,4
825,Leonid Hurwicz,1917-08-21,Male,Russia,Economics,1917,8,21,3
849,Yoichiro Nambu,1921-01-18,Male,Japan,Physics,1921,1,18,1
869,Willard S. Boyle,1924-08-19,Male,Canada,Physics,1924,8,19,3
