,short_name,player_positions,overall,nationality_name,age,dob,league_name,height_cm,weight_kg,year,month,day,trimestre
2123,F. Ceccherini,CB,74,Italy,29,1992-05-11,Italian Serie A,187,75,1992,5,11,2
2153,L. MontipÃ²,GK,74,Italy,25,1996-02-20,Italian Serie A,191,82,1996,2,20,1
2204,K. Lasagna,ST,74,Italy,28,1992-08-10,Italian Serie A,186,80,1992,8,10,3
2205,I. Provedel,GK,74,Italy,27,1994-03-17,Italian Serie A,192,84,1994,3,17,1
2216,D. Verde,"RW, LW, ST",74,Italy,25,1996-06-20,Italian Serie A,168,64,1996,6,20,2
2226,G. Scamacca,ST,74,Italy,22,1999-01-01,Italian Serie A,195,85,1999,1,1,1
2382,L. Pellegrini,LB,74,Italy,22,1999-03-07,Italian Serie A,178,72,1999,3,7,1
2414,G. Raspadori,ST,74,Italy,21,2000-02-18,Italian Serie A,172,69,2000,2,18,1
2447,D. Padelli,GK,73,Italy,35,1985-10-25,Italian Serie A,191,82,1985,10,25,4
2456,A. Masiello,CB,73,Italy,35,1986-02-05,Italian Serie A,184,82,1986,2,5,1
2547,F. Bardi,GK,73,Italy,29,1992-01-18,Italian Serie A,188,80,1992,1,18,1
2569,R. Inglese,ST,73,Italy,29,1991-11-12,Italian Serie B,186,85,1991,11,12,4
2583,L. Tonelli,CB,73,Italy,31,1990-01-17,Italian Serie A,183,75,1990,1,17,1
2615,L. Ceppitelli,CB,73,Italy,31,1989-08-11,Italian Serie A,186,83,1989,8,11,3
2644,D. Bessa,"CAM, CM, CF",73,Italy,28,1993-01-14,Italian Serie A,178,75,1993,1,14,1
2660,A. Brignoli,GK,73,Italy,29,1991-08-19,Greek Super League,187,74,1991,8,19,3
2671,D. Cataldi,"CM, CDM",73,Italy,26,1994-08-06,Italian Serie A,180,70,1994,8,6,3
2734,G. Letizia,"RB, LB",73,Italy,31,1990-06-29,Italian Serie B,173,63,1990,6,29,2
2760,A. Grassi,CM,73,Italy,26,1995-03-07,Italian Serie A,183,75,1995,3,7,1
2801,G. Ferrari,CB,73,Italy,29,1992-05-15,Italian Serie A,189,82,1992,5,15,2
2940,K. Bonifazi,CB,73,Italy,25,1996-05-19,Italian Serie A,187,85,1996,5,19,2
2978,P. Cutrone,ST,73,Italy,23,1998-01-03,Italian Serie A,183,79,1998,1,3,1
3101,A. Cordaz,GK,72,Italy,38,1983-01-01,Italian Serie A,188,83,1983,1,1,1
3112,E. Viviano,GK,72,Italy,35,1985-12-01,Turkish SÃ¼per Lig,195,90,1985,12,1,4
3127,F. Forestieri,"CAM, CF, LW",72,Italy,31,1990-01-15,Italian Serie A,172,67,1990,1,15,1
3152,M. Coda,ST,72,Italy,32,1988-11-10,Italian Serie B,184,73,1988,11,10,4
3153,V. Fiorillo,GK,72,Italy,31,1990-01-13,Italian Serie A,190,79,1990,1,13,1
3156,F. Macheda,"ST, LW, CF",72,Italy,29,1991-08-22,Greek Super League,185,77,1991,8,22,3
3173,C. Pinsoglio,GK,72,Italy,31,1990-03-16,Italian Serie A,194,85,1990,3,16,1
3230,G. Donati,"RB, LB",72,Italy,31,1990-02-05,Italian Serie B,178,76,1990,2,5,1
3278,S. Sturaro,CM,72,Italy,28,1993-03-09,Italian Serie A,181,80,1993,3,9,1
3314,N. Murru,LB,72,Italy,26,1994-12-16,Italian Serie A,180,74,1994,12,16,4
3354,M. Benassi,"CM, CF",72,Italy,26,1994-09-08,Italian Serie A,184,80,1994,9,8,3
3391,D. Biraschi,"CB, RB, RM",72,Italy,26,1994-07-02,Italian Serie A,182,72,1994,7,2,3
3440,M. Aramu,"CAM, ST, RW",72,Italy,26,1995-05-14,Italian Serie A,180,69,1995,5,14,2
3441,S. Scuffet,GK,72,Italy,25,1996-05-31,Cypriot First Division,193,77,1996,5,31,2
3442,G. Tutino,"ST, LW",72,Italy,24,1996-08-20,Italian Serie B,177,76,1996,8,20,3
3497,L. Mancuso,"ST, LW",72,Italy,29,1992-05-26,Italian Serie A,182,77,1992,5,26,2
3604,G. Pezzella,"LB, LM",72,Italy,23,1997-11-29,Italian Serie A,185,81,1997,11,29,4
3675,F. Depaoli,"RM, RB",72,Italy,24,1997-04-24,Italian Serie A,182,71,1997,4,24,2
3691,R. Petretta,LB,72,Italy,24,1997-03-24,Swiss Super League,175,70,1997,3,24,1
3719,T. Augello,LB,72,Italy,26,1994-08-30,Italian Serie A,180,70,1994,8,30,3
3821,M. Lovato,CB,72,Italy,21,2000-02-14,Italian Serie A,188,78,2000,2,14,1
3852,G. Paletta,CB,71,Italy,35,1986-02-15,Italian Serie B,190,80,1986,2,15,1
3859,A. BarillÃ ,CM,71,Italy,33,1988-04-01,Italian Serie B,180,78,1988,4,1,2
3907,P. Schiattarella,"CM, CDM",71,Italy,34,1987-05-30,Italian Serie B,178,73,1987,5,30,2
3955,A. Ragusa,"RW, LW",71,Italy,31,1990-03-27,Italian Serie A,183,77,1990,3,27,1
3963,S. Romagnoli,CB,71,Italy,31,1990-02-09,Italian Serie A,193,85,1990,2,9,1
3974,L. Caldirola,CB,71,Italy,30,1991-02-01,Italian Serie B,186,78,1991,2,1,1
4041,M. Pigliacelli,GK,71,Italy,28,1993-06-30,Romanian Liga I,184,83,1993,6,30,2
4042,P. Terracciano,GK,71,Italy,31,1990-03-08,Italian Serie A,193,78,1990,3,8,1
4047,S. Sabelli,"RB, RWB, RM",71,Italy,28,1993-01-13,Italian Serie A,176,70,1993,1,13,1
4089,F. Barba,"CB, LB",71,Italy,27,1993-09-01,Italian Serie B,186,80,1993,9,1,3
4118,F. Forte,ST,71,Italy,28,1993-05-01,Italian Serie A,187,75,1993,5,1,2
4174,F. Mattiello,"RM, LM",71,Italy,25,1995-07-14,Italian Serie A,184,70,1995,7,14,3
4175,A. Barreca,"LWB, LB, LM",71,Italy,26,1995-03-18,Italian Serie B,183,70,1995,3,18,1
4176,L. Venuti,"RWB, RB, LB",71,Italy,26,1995-04-12,Italian Serie A,176,66,1995,4,12,2
4177,L. Palmiero,"CM, CDM",71,Italy,25,1996-05-01,Italian Serie A,173,69,1996,5,1,2
4178,S. Luperto,CB,71,Italy,24,1996-09-06,Italian Serie A,191,75,1996,9,6,3
4185,E. Torregrossa,ST,71,Italy,29,1992-06-28,Italian Serie A,184,87,1992,6,28,2
4218,E. Goldaniga,CB,71,Italy,27,1993-11-02,Italian Serie A,193,82,1993,11,2,4
4230,M. Bani,CB,71,Italy,27,1993-12-10,Italian Serie A,188,81,1993,12,10,4
4396,G. Maggiore,CM,71,Italy,23,1998-03-12,Italian Serie A,184,69,1998,3,12,1
4439,G. Vicario,GK,71,Italy,24,1996-10-07,Italian Serie A,188,76,1996,10,7,4
4445,E. Vignato,CAM,71,Italy,20,2000-08-24,Italian Serie A,175,67,2000,8,24,3
4579,G. Frabotta,"LWB, LB, LM",71,Italy,22,1999-06-24,Italian Serie A,187,70,1999,6,24,2
4595,G. Pegolo,GK,70,Italy,40,1981-03-25,Italian Serie A,183,76,1981,3,25,1
4634,S. Iacoponi,"CB, RB",70,Italy,34,1987-04-30,Italian Serie B,180,73,1987,4,30,2
4636,F. Peluso,"CB, LB",70,Italy,37,1984-01-20,Italian Serie A,188,82,1984,1,20,1
4638,V. Mannone,GK,70,Italy,33,1988-03-02,French Ligue 1,189,77,1988,3,2,1
4667,M. Sau,"CF, ST",70,Italy,33,1987-11-03,Italian Serie B,169,65,1987,11,3,4
4673,S. Colombi,GK,70,Italy,30,1991-07-01,Italian Serie B,188,83,1991,7,1,3
4685,E. Lamanna,GK,70,Italy,31,1989-08-07,Italian Serie B,187,80,1989,8,7,3
4695,E. Schelotto,"RB, RWB",70,Italy,32,1989-05-23,Argentina Primera DivisiÃ³n,187,77,1989,5,23,2
4696,D. Falcinelli,ST,70,Italy,30,1991-06-26,Italian Serie A,186,75,1991,6,26,2
4700,F. Pisacane,"CB, RB",70,Italy,35,1986-01-28,Italian Serie B,178,77,1986,1,28,1
4714,L. Marrone,"CB, CDM",70,Italy,31,1990-03-28,Italian Serie B,186,75,1990,3,28,1
4722,J. Sala,"RB, RM, LB",70,Italy,29,1991-12-05,Italian Serie A,181,75,1991,12,5,4
4796,F. Lucioni,CB,70,Italy,33,1987-09-25,Italian Serie B,185,80,1987,9,25,3
4809,J. Dezi,"CM, CAM",70,Italy,29,1992-02-10,Italian Serie A,178,68,1992,2,10,1
4839,R. Improta,"LM, LW, CM",70,Italy,27,1993-12-19,Italian Serie B,179,73,1993,12,19,4
4840,R. Fiamozzi,RB,70,Italy,28,1993-05-18,Italian Serie A,178,76,1993,5,18,2
4861,R. Insigne,"CF, RM, RW",70,Italy,27,1994-05-11,Italian Serie B,172,65,1994,5,11,2
4935,L. Lezzerini,GK,70,Italy,26,1995-03-24,Italian Serie A,195,86,1995,3,24,1
4942,A. Ferrari,"CB, RB",70,Italy,27,1994-07-01,Italian Serie A,191,80,1994,7,1,3
5167,A. Paleari,GK,70,Italy,28,1992-08-29,Italian Serie B,193,88,1992,8,29,3
5251,E. Salcedo,"CF, ST",70,Italy,19,2001-10-01,Italian Serie A,178,74,2001,10,1,4
5346,R. Sottil,"LW, LM, RW",70,Italy,22,1999-06-03,Italian Serie A,180,75,1999,6,3,2
5421,N. Rovella,"CM, CDM",70,Italy,19,2001-12-04,Italian Serie A,179,70,2001,12,4,4
5471,F. Marchetti,GK,69,Italy,38,1983-02-07,Italian Serie A,188,83,1983,2,7,1
5475,C. Molinaro,"LB, LM",69,Italy,37,1983-07-30,Italian Serie A,182,82,1983,7,30,3
5476,A. Rosati,GK,69,Italy,38,1983-06-26,Italian Serie A,195,88,1983,6,26,2
5491,M. Scozzarella,"CM, CDM",69,Italy,33,1988-06-05,Italian Serie B,175,66,1988,6,5,2
5521,G. Bellusci,CB,69,Italy,31,1989-08-21,Italian Serie B,184,80,1989,8,21,3
5566,M. D'Alessandro,"LM, RM, RW",69,Italy,30,1991-02-17,Italian Serie B,173,65,1991,2,17,1
5629,A. La Mantia,ST,69,Italy,30,1991-05-06,Italian Serie A,190,81,1991,5,6,2
5651,C. Battocchio,"CM, CDM, CAM",69,Italy,29,1992-02-10,Mexican Liga MX,169,65,1992,2,10,1
5679,M. Valoti,"CM, CAM, RM",69,Italy,27,1993-09-06,Italian Serie B,181,76,1993,9,6,3
5700,M. Sampirisi,"RB, RM",69,Italy,28,1992-10-31,Italian Serie B,188,75,1992,10,31,4
5739,A. Schiavone,"CM, CDM",69,Italy,28,1993-02-25,Italian Serie A,180,83,1993,2,25,1
5830,A. Barberis,"CDM, CM",69,Italy,27,1993-12-11,Italian Serie B,177,72,1993,12,11,4
5848,G. Moncini,ST,69,Italy,25,1996-04-26,Italian Serie B,183,75,1996,4,26,2
5873,F. Bonazzoli,ST,69,Italy,24,1997-05-21,Italian Serie A,182,79,1997,5,21,2
5892,L. Paganini,"CM, RM",69,Italy,28,1993-06-08,Italian Serie B,177,70,1993,6,8,2
5916,F. Romagna,CB,69,Italy,24,1997-05-26,Italian Serie A,186,75,1997,5,26,2
5947,A. Calabresi,"RB, CB",69,Italy,25,1996-03-17,Italian Serie B,186,75,1996,3,17,1
5983,P. Ghiglione,"RM, RB",69,Italy,24,1997-02-02,Italian Serie A,191,80,1997,2,2,1
5990,F. Bandinelli,CM,69,Italy,26,1995-03-29,Italian Serie A,180,74,1995,3,29,1
6077,M. Di Gregorio,GK,69,Italy,23,1997-07-27,Italian Serie B,187,81,1997,7,27,3
6094,Y. Maleh,CM,69,Italy,22,1998-08-22,Italian Serie A,177,74,1998,8,22,3
6148,D. Frattesi,"CM, CDM",69,Italy,21,1999-09-22,Italian Serie A,184,74,1999,9,22,3
6305,T. Pobega,CM,69,Italy,21,1999-07-15,Italian Serie A,188,78,1999,7,15,3
6491,A. Tuia,CB,68,Italy,31,1990-06-08,Italian Serie B,184,74,1990,6,8,2
6672,M. Modolo,"CB, RB",68,Italy,32,1989-03-23,Italian Serie A,186,82,1989,3,23,1
6694,B. Meccariello,"CB, RB",68,Italy,30,1991-03-27,Italian Serie B,187,85,1991,3,27,1
6699,P. FaragÃ²,"RB, CM",68,Italy,28,1993-02-12,Italian Serie A,187,80,1993,2,12,1
6812,J. Mauri,"CM, CDM",68,Italy,25,1996-05-16,USA Major League Soccer,169,68,1996,5,16,2
6897,S. Bastoni,LB,68,Italy,24,1996-11-05,Italian Serie A,181,74,1996,11,5,4
7052,G. Crociata,"CAM, CM, CF",68,Italy,23,1997-08-11,Italian Serie A,174,67,1997,8,11,3
7069,A. Pinamonti,ST,68,Italy,22,1999-05-19,Italian Serie A,188,72,1999,5,19,2
7078,R. Marchizza,"LB, CB",68,Italy,23,1998-03-26,Italian Serie A,186,80,1998,3,26,1
7083,E. Brignola,"CAM, RW, CF",68,Italy,21,1999-07-08,Italian Serie B,168,71,1999,7,8,3
7131,P. Pellegri,ST,68,Italy,20,2001-03-17,Italian Serie A,188,80,2001,3,17,1
7149,P. Mazzocchi,"RB, RM, LB",68,Italy,25,1995-07-27,Italian Serie A,180,74,1995,7,27,3
7163,M. Gabbia,CB,68,Italy,21,1999-10-21,Italian Serie A,185,78,1999,10,21,4
7164,L. Fiordilino,"CM, RM",68,Italy,24,1996-07-25,Italian Serie A,177,68,1996,7,25,3
7291,R. Bellanova,RB,68,Italy,21,2000-05-17,Italian Serie A,188,78,2000,5,17,2
7298,S. Esposito,"ST, CAM",68,Italy,18,2002-07-02,Swiss Super League,186,75,2002,7,2,3
7409,A. Carboni,"CB, LB",68,Italy,20,2001-02-04,Italian Serie A,185,80,2001,2,4,1
7416,R. Calafiori,"LB, LM",68,Italy,19,2002-05-19,Italian Serie A,183,78,2002,5,19,2
7445,N. Fagioli,"CM, CAM",68,Italy,20,2001-02-12,Italian Serie A,178,72,2001,2,12,1
7467,M. Cancellieri,"RW, CF",68,Italy,18,2002-08-12,Italian Serie A,182,78,2002,8,12,3
7503,S. Aresti,GK,67,Italy,35,1986-03-15,Italian Serie A,188,78,1986,3,15,1
7505,N. Ravaglia,GK,67,Italy,32,1988-12-12,Italian Serie A,184,84,1988,12,12,4
7578,N. Rigoni,"CM, CDM",67,Italy,30,1990-11-12,Italian Serie B,187,84,1990,11,12,4
7619,R. Aya,CB,67,Italy,30,1990-08-02,Italian Serie A,184,79,1990,8,2,3
7728,S. Beltrame,"CAM, LW, CF",67,Italy,28,1993-02-08,Portuguese Liga ZON SAGRES,183,70,1993,2,8,1
7753,L. Capezzi,"CM, CDM",67,Italy,26,1995-03-28,Italian Serie A,178,72,1995,3,28,1
7804,A. Vacca,CM,67,Italy,31,1990-05-13,Italian Serie A,172,67,1990,5,13,2
7843,C. Lombardi,RM,67,Italy,25,1995-08-19,Italian Serie A,180,75,1995,8,19,3
7863,S. Molina,"RM, LM, CM",67,Italy,29,1992-01-01,Italian Serie B,177,75,1992,1,1,1
8162,F. Cassata,CM,67,Italy,23,1997-07-16,Italian Serie A,183,76,1997,7,16,3
8427,R. Piccoli,ST,67,Italy,20,2001-01-27,Italian Serie A,183,78,2001,1,27,1
8485,M. Sala,"LB, LM",67,Italy,22,1999-06-04,Italian Serie B,182,70,1999,6,4,2
8502,S. Ricci,"CM, CDM",67,Italy,19,2001-08-21,Italian Serie A,178,72,2001,8,21,3
8547,G. Quagliata,LB,67,Italy,21,2000-02-19,Holland Eredivisie,177,65,2000,2,19,1
8753,F. Di Tacchio,"CM, CDM",66,Italy,31,1990-04-20,Italian Serie A,186,81,1990,4,20,2
8762,G. Zigoni,ST,66,Italy,30,1991-05-10,Italian Serie A,188,80,1991,5,10,2
8816,R. Bocalon,ST,66,Italy,32,1989-03-03,Italian Serie A,186,76,1989,3,3,1
8831,N. Dumitru,"ST, LM",66,Italy,29,1991-10-12,Korean K League 1,184,76,1991,10,12,4
8918,N. Manfredini,GK,66,Italy,33,1988-05-01,Italian Serie B,190,80,1988,5,1,2
8951,T. Morosini,"CM, CDM",66,Italy,29,1991-10-08,Italian Serie B,185,70,1991,10,8,4
9025,P. Ceccaroni,"CB, LB",66,Italy,25,1995-12-21,Italian Serie A,188,76,1995,12,21,4
9030,F. Di Mariano,"ST, LW",66,Italy,25,1996-04-20,Italian Serie B,177,68,1996,4,20,2
9255,S. Edera,"CAM, CF",66,Italy,24,1997-01-09,Italian Serie A,174,70,1997,1,9,1
9281,M. Finotto,ST,66,Italy,28,1992-12-28,Italian Serie B,183,72,1992,12,28,4
9311,A. Plizzari,GK,66,Italy,21,2000-03-11,Italian Serie A,187,73,2000,3,11,1
9398,N. Casale,CB,66,Italy,23,1998-02-14,Italian Serie A,191,80,1998,2,14,1
9729,M. Portanova,"CM, CAM",66,Italy,21,2000-06-02,Italian Serie A,183,77,2000,6,2,2
10024,A. Said,ST,65,Italy,28,1993-04-20,Romanian Liga I,181,70,1993,4,20,2
10057,D. Del Fabro,CB,65,Italy,26,1995-03-24,Belgian Jupiler Pro League,190,81,1995,3,24,1
10327,R. Pirrello,"CB, RB",65,Italy,25,1996-05-30,Italian Serie A,190,76,1996,5,30,2
10614,A. Buongiorno,"CB, LB",65,Italy,22,1999-06-06,Italian Serie A,194,80,1999,6,6,2
10680,A. Vogliacco,"CB, RB",65,Italy,22,1998-09-14,Italian Serie B,186,78,1998,9,14,3
10784,S. Elia,"RW, LW, RM",65,Italy,22,1999-06-30,Italian Serie B,183,70,1999,6,30,2
10807,G. Zappa,"RB, RM",65,Italy,21,1999-12-22,Italian Serie A,183,78,1999,12,22,4
10966,M. Ruggeri,"LM, LB",65,Italy,18,2002-07-11,Italian Serie A,179,79,2002,7,11,3
11264,W. Falcone,GK,64,Italy,26,1995-04-12,Italian Serie A,195,85,1995,4,12,2
11415,G. Acampora,"CM, CDM",64,Italy,27,1994-03-29,Italian Serie B,174,74,1994,3,29,1
11483,A. Deiola,CM,64,Italy,25,1995-08-01,Italian Serie A,189,85,1995,8,1,3
11681,L. Ranieri,"CB, LB",64,Italy,22,1999-04-23,Italian Serie A,187,76,1999,4,23,2
11774,A. Gallo,"LB, LM",64,Italy,21,2000-01-05,Italian Serie B,183,73,2000,1,5,1
